;;;;;;;;;SCA;SCA;SCA Types;SCA Types;SCA Types;SCA Types;SCA Types;SCA Types;GCA;GCA;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;SCA;SCA90;PassLive;PassDead;Drib;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;Drib;Sh;Fld;Def;OG;Matches
320;Melayro Bogarde\Melayro-Bogarde;nl NED;DF;Hoffenheim;de Bundesliga;17;2002;0.6;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
321;Quentin Boisgard\Quentin-Boisgard;fr FRA;MFFW;Toulouse;fr Ligue 1;22;1997;12.7;38;2.98;17;9;6;1;3;2;3;0.24;1;2;0;0;0;0;0;Matches
322;Willy Boly\Willy-Boly;ci CIV;DF;Wolves;eng Premier League;28;1991;22.0;8;0.36;8;0;0;0;0;0;1;0.05;1;0;0;0;0;0;0;Matches
323;Giacomo Bonaventura\Giacomo-Bonaventura;it ITA;MFFW;Milan;it Serie A;29;1989;14.9;75;5.04;52;1;8;6;8;0;12;0.81;7;0;1;1;3;0;0;Matches
324;Federico Bonazzoli\Federico-Bonazzoli;it ITA;FWMF;Sampdoria;it Serie A;22;1997;8.3;29;3.51;17;0;2;4;4;2;2;0.24;1;0;0;1;0;0;0;Matches
325;Gaëtan Bong\Gaetan-Bong;cm CMR;MFDF;Brighton;eng Premier League;31;1988;0.7;3;4.58;3;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
326;Kevin Bonifazi\Kevin-Bonifazi;it ITA;DF;Torino;it Serie A;23;1996;2.7;1;0.36;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
327;Kevin Bonifazi\Kevin-Bonifazi;it ITA;DF;SPAL;it Serie A;23;1996;13.2;5;0.38;3;0;1;1;0;0;0;0.00;0;0;0;0;0;0;0;Matches
328;Federico Bonini\Federico-Bonini;it ITA;DF;Bologna;it Serie A;17;2001;0.1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
329;Leonardo Bonucci\Leonardo-Bonucci;it ITA;DF;Juventus;it Serie A;32;1987;34.2;28;0.82;27;0;0;1;0;0;2;0.06;2;0;0;0;0;0;0;Matches
330;Fabio Borini\Fabio-Borini;it ITA;FWMF;Hellas Verona;it Serie A;28;1991;9.0;25;2.78;12;2;3;5;2;1;2;0.22;0;0;0;0;1;1;0;Matches
331;Fabio Borini\Fabio-Borini;it ITA;MFFW;Milan;it Serie A;28;1991;0.8;1;1.29;0;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
332;Dennis Borkowski\Dennis-Borkowski;de GER;FW;RB Leipzig;de Bundesliga;17;2002;0.1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
333;Robin Bormuth\Robin-Bormuth;de GER;DF;Düsseldorf;de Bundesliga;23;1995;2.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
334;Sebastiaan Bornauw\Sebastiaan-Bornauw;be BEL;DF;Köln;de Bundesliga;20;1999;27.2;14;0.51;11;0;1;1;0;1;0;0.00;0;0;0;0;0;0;0;Matches
335;Brandon Borrello\Brandon-Borrello;au AUS;MFFW;Freiburg;de Bundesliga;24;1995;3.3;3;0.91;2;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
336;Gabriel Boschilia\Gabriel-Boschilia;br BRA;MFFW;Monaco;fr Ligue 1;23;1996;1.4;4;2.77;3;0;0;0;1;0;0;0.00;0;0;0;0;0;0;0;Matches
337;Denis Bouanga\Denis-Bouanga;ga GAB;FWDF;Saint-Étienne;fr Ligue 1;24;1994;22.7;61;2.69;27;3;13;9;7;1;7;0.31;2;2;0;2;0;0;1;Matches
338;Hicham Boudaoui\Hicham-Boudaoui;dz ALG;MFFW;Nice;fr Ligue 1;19;1999;5.4;13;2.39;9;0;1;1;2;0;3;0.55;3;0;0;0;0;0;0;Matches
339;Ryad Boudebouz\Ryad-Boudebouz;dz ALG;MFFW;Saint-Étienne;fr Ligue 1;29;1990;17.7;66;3.72;40;21;3;1;1;0;5;0.28;3;1;0;1;0;0;0;Matches
340;Sofiane Boufal\Sofiane-Boufal;ma MAR;MFFW;Southampton;eng Premier League;25;1993;8.5;40;4.71;22;0;8;1;6;3;3;0.35;2;0;1;0;0;0;0;Matches
341;Nassim Boujellab\Nassim-Boujellab;ma MAR;MFFW;Schalke 04;de Bundesliga;20;1999;4.7;4;0.86;4;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
342;Farid Boulaya\Farid-Boulaya;dz ALG;FW;Metz;fr Ligue 1;26;1993;9.1;35;3.84;23;7;3;1;1;0;2;0.22;1;1;0;0;0;0;0;Matches
343;Yassine Bounou\Yassine-Bounou;ma MAR;GK;Sevilla;es La Liga;28;1991;5.5;2;0.36;1;1;0;0;0;0;1;0.18;1;0;0;0;0;0;0;Matches
344;Mehdi Bourabia\Mehdi-Bourabia;ma MAR;MF;Sassuolo;it Serie A;27;1991;10.3;25;2.43;22;1;1;0;1;0;5;0.49;5;0;0;0;0;0;0;Matches
345;Benjamin Bourigeaud\Benjamin-Bourigeaud;fr FRA;MF;Rennes;fr Ligue 1;25;1994;21.1;53;2.51;31;18;2;0;1;1;6;0.28;3;2;0;0;1;0;0;Matches
