;;;;;;;;;SCA;SCA;SCA Types;SCA Types;SCA Types;SCA Types;SCA Types;SCA Types;GCA;GCA;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;GCA Types;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;SCA;SCA90;PassLive;PassDead;Drib;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;Drib;Sh;Fld;Def;OG;Matches
605;Lucas Da Cunha\Lucas-Da-Cunha;fr FRA;MF;Rennes;fr Ligue 1;18;2001;0.8;4;5.00;3;0;0;1;0;0;0;0.00;0;0;0;0;0;0;0;Matches
606;Jacopo Da Riva\Jacopo-Da-Riva;it ITA;FW;Atalanta;it Serie A;18;2000;0.0;1;90.00;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
607;Damien Da Silva\Damien-Da-Silva;fr FRA;DF;Rennes;fr Ligue 1;31;1988;24.9;13;0.52;12;0;0;1;0;0;2;0.08;2;0;0;0;0;0;0;Matches
608;Bryan Dabo\Bryan-Dabo;bf BFA;MF;SPAL;it Serie A;27;1992;12.5;26;2.09;23;1;0;1;1;0;4;0.32;3;0;0;1;0;0;0;Matches
609;Moanes Dabour\Moanes-Dabour;il ISR;FW;Sevilla;es La Liga;27;1992;0.3;1;3.46;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
610;Moanes Dabour\Moanes-Dabour;il ISR;FW;Hoffenheim;de Bundesliga;27;1992;8.5;30;3.52;18;0;1;2;8;1;3;0.35;2;0;0;0;1;0;0;Matches
611;Colin Dagba\Colin-Dagba;fr FRA;DF;Paris S-G;fr Ligue 1;20;1998;7.4;10;1.35;6;1;2;0;0;1;1;0.13;1;0;0;0;0;0;0;Matches
612;Mahmoud Dahoud\Mahmoud-Dahoud;de GER;MF;Dortmund;de Bundesliga;23;1996;6.2;15;2.42;12;0;1;2;0;0;3;0.48;3;0;0;0;0;0;0;Matches
613;Leon Dajaku\Leon-Dajaku;de GER;DF;Bayern Munich;de Bundesliga;18;2001;0.1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
614;Felipe dal Belo\Felipe-dal-Belo;br BRA;DF;SPAL;it Serie A;35;1984;11.1;6;0.54;4;1;0;1;0;0;0;0.00;0;0;0;0;0;0;0;Matches
615;Christian Dalle Mura\Christian-Dalle-Mura;it ITA;MF;Fiorentina;it Serie A;17;2002;0.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
616;Diogo Dalot\Diogo-Dalot;pt POR;DF;Manchester Utd;eng Premier League;20;1999;0.7;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
617;Charlie Daniels\Charlie-Daniels;eng ENG;DF;Bournemouth;eng Premier League;32;1986;1.4;4;2.86;3;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
618;Danilo\Danilo;br BRA;DF;Juventus;it Serie A;28;1991;16.0;36;2.25;29;0;1;3;2;1;4;0.25;3;0;0;1;0;0;0;Matches
619;Scott Dann\Scott-Dann;eng ENG;DF;Crystal Palace;eng Premier League;32;1987;14.1;7;0.50;6;0;1;0;0;0;1;0.07;1;0;0;0;0;0;0;Matches
620;Kevin Danso\Kevin-Danso;at AUT;DF;Southampton;eng Premier League;20;1998;3.1;3;0.97;3;0;0;0;0;0;1;0.32;1;0;0;0;0;0;0;Matches
621;Dante\Dante;br BRA;DF;Nice;fr Ligue 1;35;1983;21.0;17;0.81;13;0;0;2;0;2;1;0.05;0;0;0;1;0;0;0;Matches
622;Andrea Danzi\Andrea-Danzi;it ITA;MF;Hellas Verona;it Serie A;20;1999;0.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
623;Sergi Darder\Sergi-Darder;es ESP;MFFW;Espanyol;es La Liga;25;1993;29.5;63;2.13;46;8;4;4;0;1;4;0.14;4;0;0;0;0;0;0;Matches
624;Vladimír Darida\Vladimir-Darida;cz CZE;MF;Hertha BSC;de Bundesliga;28;1990;25.1;85;3.39;57;16;1;3;3;4;7;0.28;6;0;0;0;0;0;1;Matches
625;Matteo Darmian\Matteo-Darmian;it ITA;DF;Parma;it Serie A;29;1989;29.8;39;1.31;28;6;1;1;3;0;3;0.10;3;0;0;0;0;0;0;Matches
626;Alphonso Davies\Alphonso-Davies;ca CAN;DF;Bayern Munich;de Bundesliga;18;2000;24.8;67;2.70;54;0;4;0;4;5;9;0.36;7;0;1;0;0;1;0;Matches
627;Ben Davies\Ben-Davies;wal WAL;DF;Tottenham;eng Premier League;26;1993;15.9;17;1.07;15;1;0;1;0;0;0;0.00;0;0;0;0;0;0;0;Matches
628;Tom Davies\Tom-Davies;eng ENG;MF;Everton;eng Premier League;21;1998;22.5;24;1.07;17;0;2;3;2;0;0;0.00;0;0;0;0;0;0;0;Matches
629;Keinan Davis\Keinan-Davis;eng ENG;FW;Aston Villa;eng Premier League;21;1998;6.1;20;3.28;11;0;1;4;4;0;3;0.49;1;0;0;1;1;0;0;Matches
630;Pawe? Dawidowicz\Pawel-Dawidowicz;pl POL;DF;Hellas Verona;it Serie A;24;1995;7.7;5;0.65;3;1;0;1;0;0;0;0.00;0;0;0;0;0;0;0;Matches
631;Craig Dawson\Craig-Dawson;eng ENG;DF;Watford;eng Premier League;29;1990;26.2;12;0.46;7;0;0;5;0;0;0;0.00;0;0;0;0;0;0;0;Matches
632;Kevin De Bruyne\Kevin-De-Bruyne;be BEL;MF;Manchester City;eng Premier League;28;1991;31.0;222;7.16;157;39;11;4;9;2;34;1.10;25;2;2;1;3;1;0;Matches
633;Sebastien De Maio\Sebastien-De-Maio;fr FRA;DF;Udinese;it Serie A;32;1987;16.7;5;0.30;5;0;0;0;0;0;3;0.18;3;0;0;0;0;0;0;Matches
634;Rodrigo De Paul\Rodrigo-De-Paul;ar ARG;MF;Udinese;it Serie A;25;1994;31.4;141;4.50;95;27;6;4;5;4;16;0.51;6;4;2;2;1;1;0;Matches
635;Mattia De Sciglio\Mattia-De-Sciglio;it ITA;DF;Juventus;it Serie A;26;1992;5.2;11;2.10;8;0;2;0;1;0;1;0.19;1;0;0;0;0;0;0;Matches
636;Lorenzo De Silvestri\Lorenzo-De-Silvestri;it ITA;DF;Torino;it Serie A;31;1988;24.9;34;1.36;27;3;1;1;1;1;1;0.04;0;0;0;1;0;0;0;Matches
637;Lucas Deaux\Lucas-Deaux;fr FRA;MF;Nîmes;fr Ligue 1;30;1988;14.8;26;1.75;23;0;1;1;1;0;2;0.13;2;0;0;0;0;0;0;Matches
638;Mathieu Debuchy\Mathieu-Debuchy;fr FRA;DF;Saint-Étienne;fr Ligue 1;34;1985;19.7;36;1.83;27;5;4;0;0;0;2;0.10;1;1;0;0;0;0;0;Matches
639;Troy Deeney\Troy-Deeney;eng ENG;FW;Watford;eng Premier League;31;1988;24.7;51;2.06;42;0;0;3;5;1;5;0.20;4;0;0;0;1;0;0;Matches
640;Grégoire Defrel\Gregoire-Defrel;mq MTQ;FWMF;Sassuolo;it Serie A;28;1991;10.9;24;2.20;17;0;3;1;3;0;6;0.55;4;0;1;1;0;0;0;Matches
641;Alessandro Deiola\Alessandro-Deiola;it ITA;MF;Cagliari;it Serie A;23;1995;0.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
642;Alessandro Deiola\Alessandro-Deiola;it ITA;MF;Lecce;it Serie A;23;1995;8.0;14;1.76;12;0;0;0;1;1;1;0.13;1;0;0;0;0;0;0;Matches
643;Romain Del Castillo\Romain-Del-Castillo;fr FRA;FWMF;Rennes;fr Ligue 1;23;1996;13.8;46;3.33;32;0;5;2;5;2;6;0.43;6;0;0;0;0;0;0;Matches
644;Thomas Delaine\Thomas-Delaine;fr FRA;DF;Metz;fr Ligue 1;27;1992;13.9;22;1.58;16;1;4;0;1;0;0;0.00;0;0;0;0;0;0;0;Matches
645;Thomas Delaney\Thomas-Delaney;dk DEN;MF;Dortmund;de Bundesliga;27;1991;9.2;9;0.98;8;0;0;1;0;0;2;0.22;2;0;0;0;0;0;0;Matches
646;Paul Delecroix\Paul-Delecroix;fr FRA;GK;Metz;fr Ligue 1;30;1988;1.5;1;0.66;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
647;Cristian Dell'Orco\Cristian-DellOrco;it ITA;DF;Lecce;it Serie A;25;1994;11.2;17;1.52;16;1;0;0;0;0;1;0.09;1;0;0;0;0;0;0;Matches
648;Andy Delort\Andy-Delort;dz ALG;FW;Montpellier;fr Ligue 1;27;1991;25.3;80;3.16;48;3;9;8;11;0;10;0.39;3;0;2;2;2;0;1;Matches
649;Fabian Delph\Fabian-Delph;eng ENG;MF;Everton;eng Premier League;29;1989;13.2;18;1.36;16;0;0;1;0;1;2;0.15;2;0;0;0;0;0;0;Matches
650;Moussa Dembélé\Moussa-Dembele;fr FRA;FW;Lyon;fr Ligue 1;23;1996;24.3;49;2.02;37;0;3;3;6;0;7;0.29;4;0;1;0;2;0;0;Matches
651;Ousmane Dembélé\Ousmane-Dembele;fr FRA;FW;Barcelona;es La Liga;22;1997;4.0;18;4.54;10;2;5;0;1;0;2;0.50;1;0;1;0;0;0;0;Matches
652;Merih Demiral\Merih-Demiral;tr TUR;DF;Juventus;it Serie A;21;1998;4.6;2;0.43;2;0;0;0;0;0;1;0.22;1;0;0;0;0;0;0;Matches
653;Kerem Demirbay\Kerem-Demirbay;de GER;MF;Leverkusen;de Bundesliga;26;1993;17.5;74;4.23;37;30;3;3;1;0;10;0.57;4;6;0;0;0;0;0;Matches
654;Diego Demme\Diego-Demme;de GER;MF;RB Leipzig;de Bundesliga;27;1991;13.5;33;2.45;31;1;0;0;0;1;2;0.15;2;0;0;0;0;0;0;Matches
655;Diego Demme\Diego-Demme;de GER;MF;Napoli;it Serie A;27;1991;10.0;18;1.80;17;0;0;0;1;0;1;0.10;1;0;0;0;0;0;0;Matches
656;Jason Denayer\Jason-Denayer;be BEL;DF;Lyon;fr Ligue 1;24;1995;23.7;8;0.34;8;0;0;0;0;0;2;0.08;2;0;0;0;0;0;0;Matches
657;Leander Dendoncker\Leander-Dendoncker;be BEL;MFDF;Wolves;eng Premier League;24;1995;31.1;19;0.61;18;0;1;0;0;0;1;0.03;1;0;0;0;0;0;0;Matches
658;Kevin Denkey\Kevin-Denkey;tg TOG;FW;Nîmes;fr Ligue 1;18;2000;6.7;15;2.24;10;0;2;2;1;0;3;0.45;2;0;0;1;0;0;0;Matches
659;Stefano Denswil\Stefano-Denswil;nl NED;DF;Bologna;it Serie A;26;1993;24.9;24;0.96;19;1;0;1;3;0;2;0.08;2;0;0;0;0;0;0;Matches
660;Fabio Depaoli\Fabio-Depaoli;it ITA;MFDF;Sampdoria;it Serie A;22;1997;20.6;51;2.48;37;4;3;5;2;0;3;0.15;1;0;0;0;2;0;0;Matches
661;Memphis Depay\Memphis-Depay;nl NED;FWMF;Lyon;fr Ligue 1;25;1994;11.3;53;4.69;21;12;10;3;6;1;6;0.53;2;0;3;0;1;0;0;Matches
662;Kastriot Dermaku\Kastriot-Dermaku;al ALB;DF;Parma;it Serie A;27;1992;11.4;4;0.35;4;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
663;Daniele Dessena\Daniele-Dessena;it ITA;MF;Brescia;it Serie A;32;1987;20.8;19;0.91;14;0;0;2;3;0;3;0.14;1;0;0;0;2;0;0;Matches
664;Mattia Destro\Mattia-Destro;it ITA;FW;Bologna;it Serie A;28;1991;2.1;2;0.97;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
665;Mattia Destro\Mattia-Destro;it ITA;FWMF;Genoa;it Serie A;28;1991;1.7;5;3.00;1;0;2;0;0;2;0;0.00;0;0;0;0;0;0;0;Matches
666;Gerard Deulofeu\Gerard-Deulofeu;es ESP;FW;Watford;eng Premier League;25;1994;23.3;93;3.99;51;10;14;7;6;5;10;0.43;5;0;1;0;1;3;0;Matches
667;Deyverson\Deyverson;br BRA;FW;Getafe;es La Liga;28;1991;2.3;5;2.21;4;0;0;1;0;0;2;0.88;1;0;0;1;0;0;0;Matches
668;Samuel Di Carmine\Samuel-Di-Carmine;it ITA;FW;Hellas Verona;it Serie A;30;1988;14.4;19;1.32;13;0;0;3;3;0;2;0.14;1;0;0;0;1;0;0;Matches
669;Federico Di Francesco\Federico-Di-Francesco;it ITA;FW;SPAL;it Serie A;25;1994;12.0;41;3.41;24;3;4;2;6;2;2;0.17;1;0;0;0;1;0;0;Matches
670;Giovanni Di Lorenzo\Giovanni-Di-Lorenzo;it ITA;DF;Napoli;it Serie A;25;1993;33.0;63;1.91;55;2;1;2;2;1;6;0.18;5;0;0;1;0;0;0;Matches
671;Ángel Di María\Angel-Di-Maria;ar ARG;FWMF;Paris S-G;fr Ligue 1;31;1988;22.2;137;6.17;98;22;9;4;2;1;25;1.13;17;4;2;1;0;0;1;Matches
672;Boulaye Dia\Boulaye-Dia;sn SEN;FW;Reims;fr Ligue 1;22;1996;20.1;45;2.24;31;0;5;2;4;3;5;0.25;3;0;1;0;1;0;0;Matches
673;Fousseni Diabaté\Fousseni-Diabate;ml MLI;FWMF;Amiens;fr Ligue 1;23;1995;13.2;25;1.89;20;2;2;0;1;0;4;0.30;3;0;1;0;0;0;0;Matches
674;Moussa Diaby\Moussa-Diaby;fr FRA;FWMF;Leverkusen;de Bundesliga;20;1999;19.7;67;3.40;48;2;12;2;3;0;10;0.51;7;0;2;0;1;0;0;Matches
675;Mouctar Diakhaby\Mouctar-Diakhaby;fr FRA;DF;Valencia;es La Liga;22;1996;16.0;6;0.37;5;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
676;Bafodé Diakité\Bafode-Diakite;fr FRA;DF;Toulouse;fr Ligue 1;18;2001;15.2;7;0.46;6;0;0;1;0;0;0;0.00;0;0;0;0;0;0;0;Matches
677;Abdou Diallo\Abdou-Diallo;fr FRA;DF;Paris S-G;fr Ligue 1;23;1996;13.3;10;0.75;7;1;0;2;0;0;1;0.07;1;0;0;0;0;0;0;Matches
678;Habib Diallo\Habib-Diallo;sn SEN;FW;Metz;fr Ligue 1;24;1995;24.4;56;2.30;35;0;11;5;4;1;8;0.33;4;0;3;1;0;0;0;Matches
679;Ibrahima Diallo\Ibrahima-Diallo;fr FRA;MF;Brest;fr Ligue 1;20;1999;17.3;20;1.15;16;0;1;0;0;3;3;0.17;3;0;0;0;0;0;0;Matches
680;Moussa Diarra\Moussa-Diarra;fr FRA;DF;Toulouse;fr Ligue 1;18;2000;1.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
681;Raphael Dias Belloli\Raphael-Dias-Belloli;br BRA;MFFW;Rennes;fr Ligue 1;22;1996;18.8;94;5.01;56;13;15;3;4;2;7;0.37;6;0;0;0;0;0;1;Matches
682;Lucas Dias\Lucas-Dias;fr FRA;GK;Nîmes;fr Ligue 1;20;1999;3.5;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
683;Amadou Diawara\Amadou-Diawara;gn GUI;MF;Roma;it Serie A;22;1997;16.9;34;2.02;31;0;0;1;1;1;2;0.12;2;0;0;0;0;0;0;Matches
684;Brahim Díaz\Brahim-Diaz;es ESP;FWMF;Real Madrid;es La Liga;19;1999;0.7;2;2.77;1;0;0;0;1;0;0;0.00;0;0;0;0;0;0;0;Matches
685;Víctor Díaz\Victor-Diaz;es ESP;DF;Granada;es La Liga;31;1988;32.0;46;1.44;33;11;0;1;0;0;9;0.28;5;2;0;1;0;0;1;Matches
686;Bakaye Dibassy\Bakaye-Dibassy;ml MLI;DF;Amiens;fr Ligue 1;29;1989;20.8;8;0.39;5;1;1;0;1;0;0;0.00;0;0;0;0;0;0;0;Matches
687;Eric Dier\Eric-Dier;eng ENG;DFMF;Tottenham;eng Premier League;25;1994;14.9;10;0.67;9;0;0;1;0;0;1;0.07;1;0;0;0;0;0;0;Matches
688;Lucas Digne\Lucas-Digne;fr FRA;DF;Everton;eng Premier League;26;1993;33.7;105;3.12;58;38;2;3;3;1;11;0.33;8;3;0;0;0;0;0;Matches
689;Virgil van Dijk\Virgil-van-Dijk;nl NED;DF;Liverpool;eng Premier League;28;1991;38.0;24;0.63;19;0;0;1;2;2;6;0.16;4;0;0;0;1;1;0;Matches
690;Mitchell Dijks\Mitchell-Dijks;nl NED;DF;Bologna;it Serie A;26;1993;11.2;16;1.43;14;1;1;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
691;Javairô Dilrosun\Javairo-Dilrosun;nl NED;MFFW;Hertha BSC;de Bundesliga;21;1998;14.5;26;1.79;14;3;6;0;2;1;4;0.28;2;0;2;0;0;0;0;Matches
692;Federico Dimarco\Federico-Dimarco;it ITA;DF;Hellas Verona;it Serie A;21;1997;5.8;18;3.11;11;6;0;1;0;0;4;0.69;3;1;0;0;0;0;0;Matches
693;Federico Dimarco\Federico-Dimarco;it ITA;DFMF;Inter;it Serie A;21;1997;0.3;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
694;Tristan Dingomé\Tristan-Dingome;cm CMR;MF;Reims;fr Ligue 1;28;1991;9.9;26;2.62;23;1;0;1;1;0;2;0.20;2;0;0;0;0;0;0;Matches
695;Lois Diony\Lois-Diony;fr FRA;FW;Saint-Étienne;fr Ligue 1;26;1992;7.4;12;1.62;6;1;2;0;2;1;1;0.14;0;0;1;0;0;0;0;Matches
696;Issa Diop\Issa-Diop;fr FRA;DF;West Ham;eng Premier League;22;1997;30.7;9;0.29;6;1;0;2;0;0;1;0.03;1;0;0;0;0;0;0;Matches
697;Papakouli Diop\Papakouli-Diop;sn SEN;MF;Eibar;es La Liga;33;1986;25.0;32;1.28;25;0;0;1;1;5;2;0.08;1;0;0;0;0;1;0;Matches
698;Assane Dioussé\Assane-Diousse;sn SEN;MF;Saint-Étienne;fr Ligue 1;21;1997;1.3;2;1.50;2;0;0;0;0;0;1;0.75;1;0;0;0;0;0;0;Matches
699;Axel Disasi\Axel-Disasi;fr FRA;DF;Reims;fr Ligue 1;21;1998;27.0;17;0.63;16;1;0;0;0;0;1;0.04;0;1;0;0;0;0;0;Matches
700;Tiago Djaló\Tiago-Djalo;pt POR;DF;Lille;fr Ligue 1;19;2000;7.3;3;0.41;2;0;0;0;0;1;0;0.00;0;0;0;0;0;0;0;Matches
701;Djené\Djene;tg TOG;DF;Getafe;es La Liga;27;1991;34.0;11;0.32;9;1;0;0;0;1;0;0.00;0;0;0;0;0;0;0;Matches
702;Moussa Djenepo\Moussa-Djenepo;ml MLI;MFDF;Southampton;eng Premier League;21;1998;10.3;40;3.88;19;0;11;1;8;1;6;0.58;3;0;2;0;1;0;0;Matches
703;Koffi Djidji\Koffi-Djidji;ci CIV;DF;Torino;it Serie A;26;1992;9.5;3;0.32;3;0;0;0;0;0;1;0.11;1;0;0;0;0;0;0;Matches
704;Alexander Djiku\Alexander-Djiku;gh GHA;DFMF;Strasbourg;fr Ligue 1;24;1994;22.9;16;0.70;13;0;0;0;1;2;1;0.04;1;0;0;0;0;0;0;Matches
705;Berat Djimsiti\Berat-Djimsiti;al ALB;DF;Atalanta;it Serie A;26;1993;30.9;26;0.84;22;1;0;3;0;0;1;0.03;0;0;0;1;0;0;0;Matches
706;Naïs Djouahra\Nais-Djouahra;fr FRA;FW;Real Sociedad;es La Liga;19;1999;0.3;3;9.31;2;0;1;0;0;0;1;3.10;1;0;0;0;0;0;0;Matches
707;Marko Dmitrovi?\Marko-Dmitrovic;rs SRB;GK;Eibar;es La Liga;27;1992;35.0;8;0.23;2;5;0;1;0;0;0;0.00;0;0;0;0;0;0;0;Matches
708;Matt Doherty\Matt-Doherty;ie IRL;DF;Wolves;eng Premier League;27;1992;31.5;64;2.03;48;1;6;7;2;0;15;0.48;7;0;3;4;1;0;0;Matches
709;Kasper Dolberg\Kasper-Dolberg;dk DEN;FW;Nice;fr Ligue 1;21;1997;21.0;26;1.24;14;0;3;4;5;0;6;0.29;3;0;1;1;1;0;0;Matches
710;Keagan Dolly\Keagan-Dolly;za RSA;MF;Montpellier;fr Ligue 1;26;1993;1.6;7;4.26;4;1;1;0;0;1;0;0.00;0;0;0;0;0;0;0;Matches
711;Jaume Doménech\Jaume-Domenech;es ESP;GK;Valencia;es La Liga;28;1990;14.7;1;0.07;0;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
712;Nicolás Domínguez\Nicolas-Dominguez;ar ARG;MF;Bologna;it Serie A;21;1998;7.8;20;2.58;19;0;1;0;0;0;1;0.13;1;0;0;0;0;0;0;Matches
713;Giulio Donati\Giulio-Donati;it ITA;DF;Lecce;it Serie A;29;1990;19.6;41;2.10;33;2;2;2;2;0;6;0.31;3;1;0;1;1;0;0;Matches
714;Ji Dong-won\Ji-Dong-won;kr KOR;FW;Mainz 05;de Bundesliga;28;1991;1.1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
715;Anastasios Donis\Anastasios-Donis;gr GRE;FWMF;Reims;fr Ligue 1;22;1996;6.8;12;1.77;5;1;4;2;0;0;0;0.00;0;0;0;0;0;0;0;Matches
716;Alfredo Donnarumma\Alfredo-Donnarumma;it ITA;FW;Brescia;it Serie A;28;1990;18.7;45;2.40;30;0;4;2;6;3;5;0.27;4;0;0;0;1;0;0;Matches
717;Gianluigi Donnarumma\Gianluigi-Donnarumma;it ITA;GK;Milan;it Serie A;20;1999;35.6;1;0.03;0;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
718;Gabriel Dos Santos\Gabriel-Dos-Santos;br BRA;DF;Lille;fr Ligue 1;21;1997;23.2;15;0.65;11;1;0;1;1;1;2;0.09;1;0;0;0;0;1;0;Matches
719;Mathieu Dossevi\Mathieu-Dossevi;tg TOG;MFFW;Toulouse;fr Ligue 1;31;1988;19.5;74;3.80;41;24;6;1;1;1;4;0.21;4;0;0;0;0;0;0;Matches
720;Bas Dost\Bas-Dost;nl NED;FW;Eint Frankfurt;de Bundesliga;30;1989;16.4;41;2.50;33;0;2;3;3;0;6;0.37;4;0;1;1;0;0;0;Matches
721;Abdoulaye Doucouré\Abdoulaye-Doucoure;fr FRA;MF;Watford;eng Premier League;26;1993;35.1;84;2.40;59;0;10;8;3;4;6;0.17;4;0;0;2;0;0;0;Matches
722;Mamadou Doucouré\Mamadou-Doucoure;fr FRA;MF;M'Gladbach;de Bundesliga;21;1998;0.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
723;Moussa Doumbia\Moussa-Doumbia;ml MLI;FWMF;Reims;fr Ligue 1;24;1994;19.1;61;3.20;41;2;5;3;7;3;4;0.21;1;0;1;0;1;1;0;Matches
724;Souleyman Doumbia\Souleyman-Doumbia;ci CIV;DF;Rennes;fr Ligue 1;22;1996;1.0;1;1.00;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
725;Souleyman Doumbia\Souleyman-Doumbia;ci CIV;DF;Angers;fr Ligue 1;22;1996;5.0;7;1.40;5;0;2;0;0;0;2;0.40;2;0;0;0;0;0;0;Matches
726;Thomas Doyle\Thomas-Doyle;eng ENG;MFFW;Manchester City;eng Premier League;17;2001;0.2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
727;Mohamed Dräger\Mohamed-Drager;tn TUN;DF;Paderborn 07;de Bundesliga;23;1996;16.2;26;1.61;18;4;1;2;1;0;5;0.31;4;0;0;1;0;0;0;Matches
728;Aleksandar Dragovi?\Aleksandar-Dragovic;at AUT;DF;Leverkusen;de Bundesliga;28;1991;11.4;13;1.14;12;0;0;0;0;1;0;0.00;0;0;0;0;0;0;0;Matches
729;Bart?omiej Dr?gowski\Bartlomiej-Dragowski;pl POL;GK;Fiorentina;it Serie A;21;1997;31.0;7;0.23;5;2;0;0;0;0;1;0.03;1;0;0;0;0;0;0;Matches
730;Julian Draxler\Julian-Draxler;de GER;MF;Paris S-G;fr Ligue 1;25;1993;7.6;21;2.76;15;2;2;1;0;0;8;1.05;4;1;1;1;0;0;1;Matches
731;Dominick Drexler\Dominick-Drexler;de GER;MFFW;Köln;de Bundesliga;29;1990;17.6;58;3.29;45;4;3;1;3;2;6;0.34;5;0;0;0;1;0;0;Matches
732;Danny Drinkwater\Danny-Drinkwater;eng ENG;MF;Aston Villa;eng Premier League;29;1990;2.9;4;1.39;3;0;0;0;1;0;0;0.00;0;0;0;0;0;0;0;Matches
733;Danny Drinkwater\Danny-Drinkwater;eng ENG;MF;Burnley;eng Premier League;29;1990;0.6;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
734;Josip Drmi?\Josip-Drmic;ch SUI;FWMF;Norwich City;eng Premier League;26;1992;7.2;12;1.67;7;0;1;2;1;1;2;0.28;0;0;1;0;0;1;0;Matches
735;Domingos Duarte\Domingos-Duarte;pt POR;DF;Granada;es La Liga;24;1995;34.3;5;0.15;4;1;0;0;0;0;1;0.03;1;0;0;0;0;0;0;Matches
736;Léo Duarte\Leo-Duarte;br BRA;DF;Milan;it Serie A;23;1996;4.5;1;0.22;0;0;0;1;0;0;0;0.00;0;0;0;0;0;0;0;Matches
737;Óscar Duarte\Oscar-Duarte;cr CRC;DF;Levante;es La Liga;30;1989;5.4;4;0.74;3;0;0;1;0;0;1;0.19;1;0;0;0;0;0;0;Matches
738;Rubén Duarte\Ruben-Duarte;es ESP;DF;Alavés;es La Liga;23;1995;29.6;37;1.25;24;3;0;4;5;1;6;0.20;2;1;0;1;2;0;0;Matches
739;Edgaras Dubickas\Edgaras-Dubickas;lt LTU;DF;Lecce;it Serie A;21;1998;0.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
740;Leo Dubois\Leo-Dubois;fr FRA;DF;Lyon;fr Ligue 1;24;1994;15.0;24;1.60;21;1;1;0;1;0;1;0.07;1;0;0;0;0;0;0;Matches
741;Martin Dúbravka\Martin-Dubravka;sk SVK;GK;Newcastle Utd;eng Premier League;30;1989;38.0;2;0.05;1;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
742;Ondrej Duda\Ondrej-Duda;sk SVK;MF;Norwich City;eng Premier League;24;1994;8.0;26;3.23;15;6;1;2;1;1;2;0.25;1;0;0;1;0;0;0;Matches
743;Ondrej Duda\Ondrej-Duda;sk SVK;MFFW;Hertha BSC;de Bundesliga;24;1994;5.0;17;3.42;10;1;3;2;1;0;2;0.40;2;0;0;0;0;0;0;Matches
744;Shane Duffy\Shane-Duffy;ie IRL;DF;Brighton;eng Premier League;27;1992;13.8;5;0.36;4;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0;Matches
745;Haris Duljevi?\Haris-Duljevic;ba BIH;FWMF;Nîmes;fr Ligue 1;25;1993;5.8;24;4.15;20;0;3;1;0;0;6;1.04;5;0;1;0;0;0;0;Matches
746;Paul Dummett\Paul-Dummett;wal WAL;DF;Newcastle Utd;eng Premier League;27;1991;13.6;6;0.44;5;0;0;0;1;0;1;0.07;1;0;0;0;0;0;0;Matches
747;Alfred Duncan\Alfred-Duncan;gh GHA;MF;Fiorentina;it Serie A;26;1993;9.9;20;2.03;17;0;1;0;2;0;2;0.20;1;0;0;0;1;0;0;Matches
748;Alfred Duncan\Alfred-Duncan;gh GHA;MF;Sassuolo;it Serie A;26;1993;9.4;27;2.88;27;0;0;0;0;0;6;0.64;6;0;0;0;0;0;0;Matches
749;Lewis Dunk\Lewis-Dunk;eng ENG;DF;Brighton;eng Premier League;27;1991;35.9;26;0.72;23;2;0;0;0;1;3;0.08;3;0;0;0;0;0;0;Matches
