;;;;;;;;;Tackles;Tackles;Tackles;Tackles;Tackles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Pressures;Pressures;Pressures;Pressures;Pressures;Pressures;Blocks;Blocks;Blocks;Blocks;;;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Past;Press;Succ;%;Def 3rd;Mid 3rd;Att 3rd;Blocks;Sh;ShSv;Pass;Int;Tkl+Int;Clr;Err;Matches
727;Mohamed Dräger\Mohamed-Drager;tn TUN;DF;Paderborn 07;de Bundesliga;23;1996;16.2;37;26;25;8;4;13;41;31.7;28;304;99;32.6;154;107;43;39;5;0;34;15;52;43;1;Matches
728;Aleksandar Dragovi?\Aleksandar-Dragovic;at AUT;DF;Leverkusen;de Bundesliga;28;1991;11.4;22;15;12;9;1;9;20;45.0;11;108;39;36.1;59;42;7;24;5;0;19;7;29;59;0;Matches
729;Bart?omiej Dr?gowski\Bartlomiej-Dragowski;pl POL;GK;Fiorentina;it Serie A;21;1997;31.0;0;0;0;0;0;0;1;0.0;1;1;0;0.0;1;0;0;0;0;0;0;0;0;0;0;Matches
730;Julian Draxler\Julian-Draxler;de GER;MF;Paris S-G;fr Ligue 1;25;1993;7.6;12;8;2;8;2;5;14;35.7;9;135;45;33.3;28;68;39;13;2;0;11;8;20;3;0;Matches
731;Dominick Drexler\Dominick-Drexler;de GER;MFFW;Köln;de Bundesliga;29;1990;17.6;31;19;11;15;5;8;28;28.6;20;385;113;29.4;96;179;110;26;4;0;22;22;53;16;0;Matches
732;Danny Drinkwater\Danny-Drinkwater;eng ENG;MF;Aston Villa;eng Premier League;29;1990;2.9;9;5;6;2;1;1;13;7.7;12;106;22;20.8;36;58;12;3;0;0;3;7;16;4;1;Matches
733;Danny Drinkwater\Danny-Drinkwater;eng ENG;MF;Burnley;eng Premier League;29;1990;0.6;2;2;1;1;0;0;1;0.0;1;23;5;21.7;10;10;3;1;0;0;1;2;4;0;0;Matches
734;Josip Drmi?\Josip-Drmic;ch SUI;FWMF;Norwich City;eng Premier League;26;1992;7.2;4;3;2;1;1;1;11;9.1;10;138;35;25.4;25;56;57;8;0;0;8;3;7;5;1;Matches
735;Domingos Duarte\Domingos-Duarte;pt POR;DF;Granada;es La Liga;24;1995;34.3;35;21;27;8;0;7;16;43.8;9;208;74;35.6;124;82;2;49;24;0;25;15;50;234;0;Matches
736;Léo Duarte\Leo-Duarte;br BRA;DF;Milan;it Serie A;23;1996;4.5;5;1;2;2;1;1;3;33.3;2;53;12;22.6;36;16;1;12;6;0;6;2;7;12;0;Matches
737;Óscar Duarte\Oscar-Duarte;cr CRC;DF;Levante;es La Liga;30;1989;5.4;11;7;10;1;0;2;3;66.7;1;49;19;38.8;34;14;1;11;6;0;5;3;14;45;1;Matches
738;Rubén Duarte\Ruben-Duarte;es ESP;DF;Alavés;es La Liga;23;1995;29.6;69;38;41;23;5;30;55;54.5;25;348;104;29.9;153;149;46;62;9;0;53;19;88;128;1;Matches
739;Edgaras Dubickas\Edgaras-Dubickas;lt LTU;DF;Lecce;it Serie A;21;1998;0.0;0;0;0;0;0;0;0;;0;1;0;0.0;0;0;1;0;0;0;0;0;0;0;0;Matches
740;Leo Dubois\Leo-Dubois;fr FRA;DF;Lyon;fr Ligue 1;24;1994;15.0;31;21;20;10;1;12;26;46.2;14;238;72;30.3;133;67;38;26;5;0;21;13;44;38;0;Matches
741;Martin Dúbravka\Martin-Dubravka;sk SVK;GK;Newcastle Utd;eng Premier League;30;1989;38.0;0;0;0;0;0;0;1;0.0;1;9;0;0.0;9;0;0;2;0;0;2;0;0;1;3;Matches
742;Ondrej Duda\Ondrej-Duda;sk SVK;MF;Norwich City;eng Premier League;24;1994;8.0;19;15;10;6;3;7;20;35.0;13;197;54;27.4;52;105;40;18;2;0;16;5;24;7;0;Matches
743;Ondrej Duda\Ondrej-Duda;sk SVK;MFFW;Hertha BSC;de Bundesliga;24;1994;5.0;5;3;0;4;1;0;12;0.0;12;116;21;18.1;19;70;27;5;1;0;4;3;8;7;0;Matches
744;Shane Duffy\Shane-Duffy;ie IRL;DF;Brighton;eng Premier League;27;1992;13.8;16;9;10;5;1;4;18;22.2;14;100;34;34.0;71;27;2;21;8;0;13;13;29;116;0;Matches
745;Haris Duljevi?\Haris-Duljevic;ba BIH;FWMF;Nîmes;fr Ligue 1;25;1993;5.8;12;9;5;3;4;3;12;25.0;9;98;37;37.8;16;48;34;7;0;0;7;2;14;1;0;Matches
746;Paul Dummett\Paul-Dummett;wal WAL;DF;Newcastle Utd;eng Premier League;27;1991;13.6;28;6;18;6;4;12;20;60.0;8;163;40;24.5;99;56;8;42;10;0;32;15;43;72;0;Matches
747;Alfred Duncan\Alfred-Duncan;gh GHA;MF;Fiorentina;it Serie A;26;1993;9.9;13;7;11;2;0;4;17;23.5;13;149;50;33.6;53;66;30;8;1;0;7;5;18;11;0;Matches
748;Alfred Duncan\Alfred-Duncan;gh GHA;MF;Sassuolo;it Serie A;26;1993;9.4;18;11;6;7;5;7;21;33.3;14;171;47;27.5;57;80;34;12;0;0;12;6;24;19;0;Matches
749;Lewis Dunk\Lewis-Dunk;eng ENG;DF;Brighton;eng Premier League;27;1991;35.9;43;28;31;12;0;13;41;31.7;28;248;107;43.1;164;72;12;71;37;3;34;36;79;162;1;Matches
750;Erik Durm\Erik-Durm;de GER;DF;Eint Frankfurt;de Bundesliga;27;1992;5.7;14;8;7;4;3;5;15;33.3;10;136;35;25.7;58;44;34;15;2;0;13;3;17;14;0;Matches
751;Riza Durmisi\Riza-Durmisi;dk DEN;DF;Nice;fr Ligue 1;25;1994;1.8;1;1;0;1;0;1;1;100.0;0;15;5;33.3;3;9;3;3;1;0;2;1;2;4;1;Matches
752;Hugo Duro\Hugo-Duro;es ESP;FWMF;Getafe;es La Liga;19;1999;4.2;5;2;2;1;2;2;8;25.0;6;98;29;29.6;5;55;38;4;0;0;4;1;6;2;0;Matches
753;Jean-Kevin Duverne\Jean-Kevin-Duverne;fr FRA;DF;Brest;fr Ligue 1;22;1997;13.1;17;11;9;7;1;7;18;38.9;11;155;58;37.4;85;63;7;35;9;0;26;16;33;71;1;Matches
754;Paulo Dybala\Paulo-Dybala;ar ARG;FWMF;Juventus;it Serie A;25;1993;23.9;24;18;7;11;6;8;32;25.0;24;401;111;27.7;34;158;209;26;0;0;26;12;36;2;0;Matches
755;Edin Džeko\Edin-Dzeko;ba BIH;FW;Roma;it Serie A;33;1986;31.7;17;11;2;7;8;1;12;8.3;11;280;80;28.6;15;126;139;12;3;0;9;7;24;34;0;Matches
756;Blerim Džemaili\Blerim-Dzemaili;ch SUI;MF;Bologna;it Serie A;33;1986;7.8;18;16;4;11;3;7;27;25.9;20;196;51;26.0;61;104;31;15;3;0;12;5;23;10;0;Matches
757;Bruno Ecuele Manga\Bruno-Ecuele-Manga;ga GAB;DF;Dijon;fr Ligue 1;31;1988;28.0;27;20;18;9;0;7;21;33.3;14;213;87;40.8;157;54;2;50;28;0;22;25;52;177;1;Matches
758;Simone Edera\Simone-Edera;it ITA;MFFW;Torino;it Serie A;22;1997;4.4;12;7;4;7;1;2;13;15.4;11;89;27;30.3;29;42;18;2;1;0;1;2;14;4;0;Matches
759;Ederson\Ederson;br BRA;GK;Manchester City;eng Premier League;25;1993;34.1;1;1;1;0;0;1;2;50.0;1;7;2;28.6;7;0;0;0;0;0;0;0;1;2;4;Matches
760;John Egan\John-Egan;ie IRL;DF;Sheffield Utd;eng Premier League;26;1992;35.4;45;27;33;12;0;21;45;46.7;24;296;101;34.1;210;79;7;73;33;0;40;26;71;269;4;Matches
761;Johannes Eggestein\Johannes-Eggestein;de GER;MFFW;Werder Bremen;de Bundesliga;21;1998;5.7;9;5;4;2;3;4;17;23.5;13;178;52;29.2;60;70;48;9;0;0;9;2;11;5;0;Matches
762;Maximilian Eggestein\Maximilian-Eggestein;de GER;MFDF;Werder Bremen;de Bundesliga;22;1996;31.7;51;32;21;25;5;12;42;28.6;30;560;151;27.0;209;250;101;58;10;0;48;25;76;54;2;Matches
763;Kingsley Ehizibue\Kingsley-Ehizibue;nl NED;DF;Köln;de Bundesliga;24;1995;25.9;93;51;56;30;7;31;52;59.6;21;443;126;28.4;220;173;50;50;7;1;43;28;121;93;2;Matches
764;Albin Ekdal\Albin-Ekdal;se SWE;MF;Sampdoria;it Serie A;30;1989;26.5;58;44;21;34;3;19;74;25.7;55;507;151;29.8;170;278;59;48;13;0;35;32;90;52;1;Matches
765;Harvey Elliot\Harvey-Elliot;eng ENG;DF;Liverpool;eng Premier League;16;2003;0.1;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
766;Elif Elmas\Elif-Elmas;mk MKD;MF;Napoli;it Serie A;19;1999;12.6;16;10;5;6;5;6;24;25.0;18;250;69;27.6;67;115;68;17;1;0;16;7;23;6;0;Matches
767;Ilay Elmkies\Ilay-Elmkies;il ISR;MF;Hoffenheim;de Bundesliga;19;2000;0.0;1;1;1;0;0;0;0;;0;2;2;100.0;2;0;0;0;0;0;0;0;1;0;0;Matches
768;Ahmed Elmohamady\Ahmed-Elmohamady;eg EGY;DF;Aston Villa;eng Premier League;31;1987;11.5;25;17;17;6;2;10;22;45.5;12;109;28;25.7;56;40;13;11;5;0;6;6;31;29;0;Matches
769;Aritz Elustondo\Aritz-Elustondo;es ESP;DF;Real Sociedad;es La Liga;25;1994;16.8;31;13;19;11;1;13;26;50.0;13;140;39;27.9;75;59;6;28;9;0;19;14;45;122;0;Matches
770;Nico Elvedi\Nico-Elvedi;ch SUI;DF;M'Gladbach;de Bundesliga;22;1996;29.1;56;37;44;12;0;15;33;45.5;18;272;115;42.3;178;90;4;49;15;1;34;30;86;136;0;Matches
771;Rodrigo Ely\Rodrigo-Ely;br BRA;DF;Alavés;es La Liga;25;1993;23.6;27;16;18;9;0;10;27;37.0;17;160;49;30.6;112;47;1;38;20;0;18;12;39;178;1;Matches
772;Adri Embarba\Adri-Embarba;es ESP;MFFW;Espanyol;es La Liga;27;1992;15.2;28;18;16;8;4;12;34;35.3;22;322;95;29.5;85;144;93;37;4;0;33;11;39;6;0;Matches
773;Breel Embolo\Breel-Embolo;ch SUI;FWMF;M'Gladbach;de Bundesliga;22;1997;17.2;23;15;3;14;6;6;17;35.3;11;395;95;24.1;31;185;179;15;1;0;14;5;28;5;0;Matches
774;Emerson\Emerson;br BRA;DF;Betis;es La Liga;20;1999;31.5;83;45;54;23;6;25;73;34.2;48;469;118;25.2;222;164;83;57;9;0;48;17;100;80;0;Matches
775;Renaud Emond\Renaud-Emond;be BEL;FWMF;Nantes;fr Ligue 1;27;1991;3.2;5;4;0;4;1;0;1;0.0;1;79;25;31.6;9;39;31;5;1;0;4;1;6;5;0;Matches
776;Alan Empereur\Alan-Empereur;br BRA;DF;Hellas Verona;it Serie A;25;1994;9.5;20;13;16;4;0;8;13;61.5;5;100;38;38.0;59;32;9;23;12;0;11;15;35;44;0;Matches
777;Youssef En-Nesyri\Youssef-En-Nesyri;ma MAR;FW;Leganés;es La Liga;22;1997;15.4;8;5;2;0;6;2;17;11.8;15;295;50;16.9;25;155;115;17;2;0;15;2;10;19;0;Matches
778;Youssef En-Nesyri\Youssef-En-Nesyri;ma MAR;FW;Sevilla;es La Liga;22;1997;8.8;8;6;1;7;0;1;9;11.1;8;193;53;27.5;28;93;72;8;2;0;6;5;13;7;0;Matches
779;Björn Engels\Bjorn-Engels;be BEL;DF;Aston Villa;eng Premier League;24;1994;16.1;9;4;7;2;0;5;11;45.5;6;81;29;35.8;54;26;1;26;19;0;7;12;21;111;2;Matches
780;Sergi Enrich\Sergi-Enrich;es ESP;FW;Eibar;es La Liga;29;1990;20.7;21;17;5;8;8;0;13;0.0;13;446;137;30.7;25;175;246;30;4;0;26;5;26;13;0;Matches
781;Javier Eraso\Javier-Eraso;es ESP;MFFW;Leganés;es La Liga;29;1990;9.1;9;8;3;4;2;4;16;25.0;12;200;51;25.5;48;98;54;15;0;0;15;4;13;10;0;Matches
782;Christian Eriksen\Christian-Eriksen;dk DEN;MFFW;Tottenham;eng Premier League;27;1992;12.2;19;12;12;6;1;5;23;21.7;18;260;55;21.2;83;127;50;19;1;0;18;8;27;11;0;Matches
783;Christian Eriksen\Christian-Eriksen;dk DEN;MF;Inter;it Serie A;27;1992;7.8;9;6;1;7;1;2;19;10.5;17;109;24;22.0;9;61;39;4;0;0;4;1;10;0;0;Matches
784;Gonzalo Escalante\Gonzalo-Escalante;ar ARG;MF;Eibar;es La Liga;26;1993;18.6;41;29;13;24;4;17;38;44.7;21;323;101;31.3;79;189;55;35;5;0;30;15;56;31;0;Matches
785;Aarón Escandell\Aaron-Escandell;es ESP;GK;Granada;es La Liga;23;1995;3.0;0;0;0;0;0;0;0;;0;1;0;0.0;1;0;0;0;0;0;0;0;0;0;0;Matches
786;Sergio Escudero\Sergio-Escudero;es ESP;DF;Sevilla;es La Liga;29;1989;8.6;26;13;15;10;1;13;22;59.1;9;123;38;30.9;51;55;17;19;1;0;18;6;32;36;0;Matches
787;Espeto\Espeto;br BRA;DFMF;SPAL;it Serie A;22;1997;23.4;67;39;27;29;11;24;55;43.6;31;562;141;25.1;168;257;137;44;3;0;41;12;79;22;1;Matches
788;Bernardo Espinosa\Bernardo-Espinosa;co COL;DF;Espanyol;es La Liga;30;1989;25.1;27;19;19;6;2;11;29;37.9;18;172;70;40.7;104;59;9;31;11;0;20;12;39;174;1;Matches
789;Sebastiano Esposito\Sebastiano-Esposito;it ITA;FW;Inter;it Serie A;17;2002;2.2;3;3;0;2;1;0;4;0.0;4;78;24;30.8;6;33;39;5;1;0;4;3;6;0;0;Matches
790;Esquerdo\Esquerdo;es ESP;MF;Valencia;es La Liga;20;1999;0.2;0;0;0;0;0;0;0;;0;4;1;25.0;1;3;0;1;0;0;1;0;0;0;0;Matches
791;Alexander Esswein\Alexander-Esswein;de GER;FWMF;Hertha BSC;de Bundesliga;29;1990;2.4;8;3;5;3;0;1;8;12.5;7;66;12;18.2;26;25;15;9;1;0;8;1;9;8;2;Matches
792;Pervis Estupiñán\Pervis-Estupinan;ec ECU;DF;Osasuna;es La Liga;21;1998;33.1;87;57;58;24;5;37;72;51.4;35;497;167;33.6;236;197;64;58;8;1;50;44;131;86;2;Matches
793;Oghenekaro Etebo\Oghenekaro-Etebo;ng NGA;MF;Getafe;es La Liga;23;1995;6.4;20;14;9;8;3;7;13;53.8;6;117;36;30.8;42;60;15;9;1;0;8;10;30;16;1;Matches
794;Beñat Etxebarria\Benat-Etxebarria;es ESP;MF;Athletic Club;es La Liga;32;1987;4.4;7;4;2;3;2;1;10;10.0;9;82;19;23.2;21;52;9;8;1;0;7;3;10;8;0;Matches
795;Xabier Etxeita\Xabier-Etxeita;es ESP;DF;Getafe;es La Liga;31;1987;16.1;22;11;8;13;1;9;20;45.0;11;140;46;32.9;55;71;14;21;6;0;15;7;29;158;0;Matches
796;Antony Evans\Antony-Evans;eng ENG;MFDF;Paderborn 07;de Bundesliga;20;1998;1.7;7;4;2;4;1;1;5;20.0;4;43;11;25.6;17;14;12;3;0;0;3;0;7;3;0;Matches
797;Jonny Evans\Jonny-Evans;nir NIR;DF;Leicester City;eng Premier League;31;1988;37.6;48;31;31;16;1;27;42;64.3;15;278;111;39.9;178;80;20;54;21;0;33;39;87;271;4;Matches
798;Edu Expósito\Edu-Exposito;es ESP;MF;Eibar;es La Liga;22;1996;25.7;56;41;11;29;16;16;58;27.6;42;480;148;30.8;103;290;87;28;6;0;22;20;76;36;0;Matches
799;Valentin Eysseric\Valentin-Eysseric;fr FRA;MFFW;Hellas Verona;it Serie A;27;1992;3.9;4;1;2;1;1;0;3;0.0;3;64;14;21.9;9;32;23;2;0;0;2;2;6;3;0;Matches
800;Valentin Eysseric\Valentin-Eysseric;fr FRA;MF;Fiorentina;it Serie A;27;1992;0.5;0;0;0;0;0;0;0;;0;16;2;12.5;3;11;2;1;0;0;1;0;0;1;0;Matches
801;?ukasz Fabia?ski\Lukasz-Fabianski;pl POL;GK;West Ham;eng Premier League;34;1985;23.5;0;0;0;0;0;0;3;0.0;3;10;2;20.0;10;0;0;0;0;0;0;0;0;2;2;Matches
802;Fabinho\Fabinho;br BRA;MF;Liverpool;eng Premier League;25;1993;23.1;77;53;27;37;13;26;65;40.0;39;428;139;32.5;149;219;60;36;2;0;34;25;102;34;0;Matches
803;Fábio\Fabio;br BRA;DF;Nantes;fr Ligue 1;29;1990;9.3;37;24;21;16;0;30;48;62.5;18;139;49;35.3;67;57;15;15;4;0;11;12;49;43;0;Matches
804;Cesc Fàbregas\Cesc-Fabregas;es ESP;MF;Monaco;fr Ligue 1;32;1987;10.3;13;9;6;4;3;4;22;18.2;18;217;60;27.6;48;101;68;11;1;0;10;7;20;6;0;Matches
805;Fabricio\Fabricio;es ESP;GK;Mallorca;es La Liga;31;1987;1.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
806;Ralf Fährmann\Ralf-Fahrmann;de GER;GK;Norwich City;eng Premier League;30;1988;0.2;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;1;1;0;0;Matches
807;Fayçal Fajr\Faycal-Fajr;ma MAR;MF;Getafe;es La Liga;30;1988;4.5;1;1;0;1;0;0;6;0.0;6;75;24;32.0;13;41;21;7;0;0;7;4;5;8;0;Matches
808;Luca Falbo\Luca-Falbo;it ITA;DF;Lazio;it Serie A;19;2000;0.0;0;0;0;0;0;0;0;;0;1;1;100.0;1;0;0;0;0;0;0;0;0;0;0;Matches
809;Filippo Falco\Filippo-Falco;it ITA;FWMF;Lecce;it Serie A;27;1992;22.4;19;15;3;8;8;4;16;25.0;12;235;56;23.8;54;117;64;13;1;0;12;5;24;1;0;Matches
810;Eliseo Falcon\Eliseo-Falcon;es ESP;DFMF;Levante;es La Liga;22;1997;0.8;1;0;1;0;0;0;1;0.0;1;7;1;14.3;1;6;0;0;0;0;0;0;1;3;0;Matches
811;Wladimiro Falcone\Wladimiro-Falcone;it ITA;GK;Sampdoria;it Serie A;24;1995;2.0;0;0;0;0;0;0;0;;0;1;0;0.0;1;0;0;0;0;0;0;0;0;0;0;Matches
812;Simon Falette\Simon-Falette;gn GUI;DF;Eint Frankfurt;de Bundesliga;27;1992;1.0;1;1;1;0;0;1;2;50.0;1;14;5;35.7;8;6;0;5;3;0;2;1;2;11;0;Matches
813;Iago Falque\Iago-Falque;es ESP;MFFW;Torino;it Serie A;29;1990;1.1;0;0;0;0;0;0;2;0.0;2;17;5;29.4;5;6;6;4;1;0;3;0;0;0;0;Matches
814;Iago Falque\Iago-Falque;es ESP;MF;Genoa;it Serie A;29;1990;5.8;3;2;0;1;2;2;10;20.0;8;57;13;22.8;16;27;14;8;0;0;8;1;4;2;0;Matches
815;Akin Famewo\Akin-Famewo;eng ENG;MF;Norwich City;eng Premier League;20;1998;0.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
816;Andri Fannar Baldursson\Andri-Fannar-Baldursson;is ISL;MF;Bologna;it Serie A;17;2002;1.6;1;1;0;1;0;1;3;33.3;2;50;11;22.0;7;24;19;2;0;0;2;1;2;2;0;Matches
817;Paolo Faragò\Paolo-Farago;it ITA;DF;Cagliari;it Serie A;26;1993;14.9;48;29;25;17;6;22;53;41.5;31;251;71;28.3;100;111;40;37;10;0;27;7;55;69;2;Matches
818;Davide Faraoni\Davide-Faraoni;it ITA;DF;Hellas Verona;it Serie A;27;1991;35.9;62;36;39;18;5;22;80;27.5;58;503;156;31.0;234;178;91;93;18;1;75;25;87;127;1;Matches
819;Mohamed Fares\Mohamed-Fares;dz ALG;DFMF;SPAL;it Serie A;23;1996;4.7;7;3;2;4;1;2;13;15.4;11;79;19;24.1;29;33;17;7;2;0;5;3;10;10;0;Matches
820;Diego Farias\Diego-Farias;br BRA;FWMF;Lecce;it Serie A;29;1990;9.2;10;5;4;5;1;5;21;23.8;16;183;27;14.8;64;88;31;9;0;0;9;6;16;4;0;Matches
821;Ansu Fati\Ansu-Fati;es ESP;FWDF;Barcelona;es La Liga;16;2002;11.4;19;10;4;7;8;6;16;37.5;10;224;68;30.4;39;95;90;16;1;0;15;2;21;3;0;Matches
822;Julien Faussurier\Julien-Faussurier;fr FRA;DF;Brest;fr Ligue 1;32;1987;22.0;40;28;25;12;3;18;62;29.0;44;254;85;33.5;118;81;55;46;8;1;38;23;63;62;0;Matches
823;Andrea Favilli\Andrea-Favilli;it ITA;FW;Genoa;it Serie A;22;1997;7.3;7;5;2;3;2;0;6;0.0;6;110;22;20.0;8;42;60;5;0;0;5;3;10;5;0;Matches
824;Federico Fazio\Federico-Fazio;ar ARG;DF;Roma;it Serie A;32;1987;13.5;20;11;12;6;2;6;13;46.2;7;113;43;38.1;68;41;4;16;8;0;8;9;29;63;0;Matches
825;Aleix Febas\Aleix-Febas;es ESP;MF;Mallorca;es La Liga;23;1996;18.8;40;25;19;18;3;10;29;34.5;19;366;95;26.0;108;196;62;16;1;0;15;19;59;3;0;Matches
826;Zouhair Feddal\Zouhair-Feddal;ma MAR;DF;Betis;es La Liga;30;1989;15.9;17;11;9;7;1;4;10;40.0;6;124;41;33.1;60;59;5;19;10;0;9;9;26;113;0;Matches
827;Ljubomir Fejsa\Ljubomir-Fejsa;rs SRB;MF;Alavés;es La Liga;30;1988;8.7;27;17;13;14;0;7;27;25.9;20;213;55;25.8;76;125;12;9;1;0;8;4;31;15;0;Matches
828;Nabil Fekir\Nabil-Fekir;fr FRA;MFFW;Betis;es La Liga;26;1993;29.3;43;26;18;16;9;7;31;22.6;24;598;146;24.4;102;303;193;36;5;0;31;12;55;6;0;Matches
829;Felipe\Felipe;br BRA;DF;Atlético Madrid;es La Liga;30;1989;23.4;33;18;26;7;0;14;25;56.0;11;160;58;36.3;100;52;8;29;16;1;13;24;57;186;1;Matches
830;Luiz Felipe\Luiz-Felipe;br BRA;DF;Lazio;it Serie A;22;1997;22.5;50;25;29;18;3;25;41;61.0;16;219;62;28.3;118;88;13;65;34;0;31;20;70;77;4;Matches
831;Lucas Felippe\Lucas-Felippe;br BRA;MFDF;Hellas Verona;it Serie A;19;2000;0.3;1;0;1;0;0;1;1;100.0;0;3;1;33.3;2;0;1;0;0;0;0;0;1;0;0;Matches
832;Ohis Felix Uduokhai\Ohis-Felix-Uduokhai;de GER;DF;Augsburg;de Bundesliga;21;1997;21.8;50;24;33;16;1;19;29;65.5;10;176;56;31.8;103;66;7;54;28;1;26;22;72;168;2;Matches
833;João Félix\Joao-Felix;pt POR;FWMF;Atlético Madrid;es La Liga;19;1999;19.4;9;4;2;4;3;0;14;0.0;14;211;47;22.3;23;122;66;11;1;0;10;2;11;9;0;Matches
834;Kiko Femenía\Kiko-Femenia;es ESP;DF;Watford;eng Premier League;28;1991;24.9;62;32;44;15;3;26;71;36.6;45;385;97;25.2;211;138;36;35;2;0;33;28;90;62;1;Matches
835;Zinedine Ferhat\Zinedine-Ferhat;dz ALG;FWMF;Nîmes;fr Ligue 1;26;1993;25.0;27;16;12;10;5;14;51;27.5;37;263;77;29.3;54;129;80;24;2;0;22;16;43;18;0;Matches
836;Bruno Fernandes\Bruno-Fernandes;pt POR;MF;Manchester Utd;eng Premier League;24;1994;13.2;19;14;7;8;4;5;34;14.7;29;260;65;25.0;59;124;77;14;0;0;14;7;26;12;0;Matches
837;Edimilson Fernandes\Edimilson-Fernandes;ch SUI;MFDF;Mainz 05;de Bundesliga;23;1996;16.5;39;26;16;17;6;18;37;48.6;19;264;75;28.4;99;130;35;34;13;0;21;31;70;46;0;Matches
838;Gedson Fernandes\Gedson-Fernandes;pt POR;MFDF;Tottenham;eng Premier League;20;1999;0.8;1;1;1;0;0;0;1;0.0;1;18;5;27.8;7;7;4;1;0;0;1;0;1;0;0;Matches
839;Gelson Fernandes\Gelson-Fernandes;ch SUI;MF;Eint Frankfurt;de Bundesliga;32;1986;8.6;35;20;15;20;0;6;23;26.1;17;228;65;28.5;88;129;11;15;3;1;12;13;48;21;1;Matches
840;Matheus Fernandes\Matheus-Fernandes;br BRA;MF;Valladolid;es La Liga;21;1998;1.8;;1;;;;;;;;;;;;;;;;;;3;0;;;Matches
841;Aitor Fernández\Aitor-Fernandez;es ESP;GK;Levante;es La Liga;28;1991;36.0;0;0;0;0;0;0;0;;0;7;3;42.9;7;0;0;0;0;0;0;0;0;5;0;Matches
842;Andrés Fernández\Andres-Fernandez;es ESP;GK;Villarreal;es La Liga;32;1986;4.3;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
843;Carlos Fernández\Carlos-Fernandez;es ESP;FWMF;Granada;es La Liga;23;1996;24.5;24;13;6;11;7;4;30;13.3;26;539;121;22.4;31;297;211;24;3;0;21;12;36;32;0;Matches
844;Federico Fernández\Federico-Fernandez;ar ARG;DF;Newcastle Utd;eng Premier League;30;1989;29.1;50;32;41;8;1;27;51;52.9;24;231;73;31.6;170;48;13;61;31;0;30;8;58;214;1;Matches
845;Gabriel Fernández\Gabriel-Fernandez;uy URU;FWMF;Celta Vigo;es La Liga;25;1994;6.2;3;2;0;2;1;0;1;0.0;1;76;20;26.3;4;38;34;6;1;0;5;2;5;2;0;Matches
846;Joaquín Fernández\Joaquin-Fernandez;es ESP;MFDF;Valladolid;es La Liga;23;1996;18.4;37;23;23;14;0;9;33;27.3;24;272;74;27.2;121;135;16;33;10;1;23;21;58;92;2;Matches
847;Fernandinho\Fernandinho;br BRA;DF;Manchester City;eng Premier League;34;1985;26.6;44;25;29;15;0;18;46;39.1;28;217;89;41.0;106;90;21;40;17;1;23;16;60;106;1;Matches
848;Fernando\Fernando;br BRA;MF;Sevilla;es La Liga;32;1987;29.5;66;44;42;22;2;28;64;43.8;36;508;187;36.8;217;250;41;58;15;0;43;30;96;129;0;Matches
849;Juan Ferney Otero\Juan-Ferney-Otero;co COL;FWMF;Amiens;fr Ligue 1;24;1995;13.4;15;11;4;10;1;10;30;33.3;20;270;61;22.6;61;127;82;25;2;0;23;12;27;17;0;Matches
850;Alex Ferrari\Alex-Ferrari;it ITA;DF;Sampdoria;it Serie A;25;1994;11.2;17;12;13;4;0;4;11;36.4;7;133;34;25.6;86;42;5;22;11;0;11;17;34;52;0;Matches
851;Facundo Ferreyra\Facundo-Ferreyra;ar ARG;FW;Espanyol;es La Liga;28;1991;6.4;6;5;3;2;1;2;9;22.2;7;97;18;18.6;12;43;42;4;0;0;4;2;8;4;0;Matches
852;Jordan Ferri\Jordan-Ferri;fr FRA;MF;Montpellier;fr Ligue 1;27;1992;12.8;28;17;9;15;4;18;58;31.0;40;322;87;27.0;99;174;49;13;0;0;13;11;39;13;0;Matches
853;Oliver Fink\Oliver-Fink;de GER;MFFW;Düsseldorf;de Bundesliga;37;1982;7.5;25;20;7;14;4;4;22;18.2;18;223;55;24.7;57;127;39;15;1;0;14;9;34;8;0;Matches
854;Alfreð Finnbogason\Alfred-Finnbogason;is ISL;FW;Augsburg;de Bundesliga;30;1989;10.7;10;5;2;6;2;0;4;0.0;4;261;72;27.6;19;122;120;12;3;0;9;4;14;6;0;Matches
855;Roberto Firmino\Roberto-Firmino;br BRA;FW;Liverpool;eng Premier League;27;1991;33.2;37;26;7;17;13;10;34;29.4;24;694;216;31.1;58;306;330;47;5;0;42;11;48;16;0;Matches
856;Junior Firpo\Junior-Firpo;es ESP;DF;Barcelona;es La Liga;22;1996;11.3;24;14;14;9;1;13;21;61.9;8;124;30;24.2;42;57;25;26;2;0;24;8;32;14;0;Matches
