;;;;;;;;;Tackles;Tackles;Tackles;Tackles;Tackles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Pressures;Pressures;Pressures;Pressures;Pressures;Pressures;Blocks;Blocks;Blocks;Blocks;;;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Past;Press;Succ;%;Def 3rd;Mid 3rd;Att 3rd;Blocks;Sh;ShSv;Pass;Int;Tkl+Int;Clr;Err;Matches
198;Aymen Barkok\Aymen-Barkok;ma MAR;FWMF;Düsseldorf;de Bundesliga;21;1998;0.9;1;0;0;0;1;0;2;0.0;2;20;4;20.0;7;4;9;7;1;0;6;0;1;2;0;Matches
199;Ashley Barnes\Ashley-Barnes;eng ENG;FW;Burnley;eng Premier League;29;1989;15.0;6;4;1;3;2;2;13;15.4;11;275;63;22.9;20;123;132;17;4;0;13;5;11;14;0;Matches
200;Harvey Barnes\Harvey-Barnes;eng ENG;MFFW;Leicester City;eng Premier League;21;1997;23.1;22;12;10;9;3;7;26;26.9;19;328;86;26.2;69;154;105;23;4;0;19;6;28;7;1;Matches
201;Antonio Barragán\Antonio-Barragan;es ESP;DF;Betis;es La Liga;32;1987;7.1;3;1;1;1;1;1;6;16.7;5;47;11;23.4;21;17;9;9;2;0;7;5;8;28;0;Matches
202;Antonio Barreca\Antonio-Barreca;it ITA;DFMF;Genoa;it Serie A;24;1995;12.2;9;3;4;3;2;2;5;40.0;3;110;26;23.6;43;39;28;23;6;0;17;3;12;21;0;Matches
203;Leandro Barreiro Martins\Leandro-Barreiro-Martins;lu LUX;MF;Mainz 05;de Bundesliga;19;2000;10.4;39;25;15;21;3;10;22;45.5;12;243;69;28.4;78;144;21;25;4;0;21;8;47;21;0;Matches
204;Ander Barrenetxea\Ander-Barrenetxea;es ESP;FWMF;Real Sociedad;es La Liga;17;2001;4.9;11;6;4;6;1;3;9;33.3;6;128;39;30.5;32;60;36;5;0;0;5;0;11;5;0;Matches
205;Édgar Barreto\Edgar-Barreto;py PAR;MF;Sampdoria;it Serie A;35;1984;1.0;5;2;0;2;3;3;4;75.0;1;19;6;31.6;4;8;7;1;0;0;1;0;5;0;0;Matches
206;Musa Barrow\Musa-Barrow;gm GAM;FW;Bologna;it Serie A;20;1998;15.0;18;9;9;7;2;5;22;22.7;17;296;75;25.3;51;117;128;19;0;0;19;10;28;11;1;Matches
207;Musa Barrow\Musa-Barrow;gm GAM;FWMF;Atalanta;it Serie A;20;1998;2.1;1;1;1;0;0;0;1;0.0;1;46;10;21.7;5;21;20;3;0;0;3;0;1;1;0;Matches
208;Fin Bartels\Fin-Bartels;de GER;FWMF;Werder Bremen;de Bundesliga;32;1987;3.8;11;4;5;4;2;6;12;50.0;6;77;15;19.5;19;35;23;3;1;0;2;2;13;5;0;Matches
209;Marc Bartra\Marc-Bartra;es ESP;DFMF;Betis;es La Liga;28;1991;28.0;62;37;41;21;0;16;37;43.2;21;339;112;33.0;175;149;15;59;27;0;32;25;87;181;0;Matches
210;Daniele Baselli\Daniele-Baselli;it ITA;MF;Torino;it Serie A;27;1992;14.2;48;32;24;15;9;12;46;26.1;34;329;87;26.4;124;152;53;32;5;0;27;15;63;31;1;Matches
211;Chris Basham\Chris-Basham;eng ENG;DF;Sheffield Utd;eng Premier League;31;1988;36.0;84;50;57;23;4;32;79;40.5;47;410;133;32.4;260;117;33;57;19;1;38;40;124;264;2;Matches
212;Toma Baši?\Toma-Basic;hr CRO;MF;Bordeaux;fr Ligue 1;22;1996;11.0;33;21;17;15;1;14;34;41.2;20;274;81;29.6;75;155;44;16;3;0;13;9;42;19;0;Matches
213;Thomas Basila\Thomas-Basila;fr FRA;DF;Nantes;fr Ligue 1;20;1999;4.6;6;1;2;4;0;4;5;80.0;1;28;12;42.9;16;12;0;3;1;0;2;1;7;27;0;Matches
