;;;;;;;;;Touches;Touches;Touches;Touches;Touches;Touches;Touches;Dribbles;Dribbles;Dribbles;Dribbles;Dribbles;Carries;Carries;Carries;Receiving;Receiving;Receiving;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos;Matches
1;Patrick van Aanholt\Patrick-van-Aanholt;nl NED;DF;Crystal Palace;eng Premier League;28;1990;27.9;1839;97;531;883;531;50;1458;18;36;50.0;18;2;1000;5651;3129;1079;994;92.1;21;16;Matches
2;Max Aarons\Max-Aarons;eng ENG;DF;Norwich City;eng Premier League;19;2000;36.0;2133;178;804;902;594;52;1821;49;94;52.1;55;2;1321;9489;5439;1399;1244;88.9;39;48;Matches
3;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;fr Ligue 1;31;1987;28.0;1856;256;1131;801;61;27;1782;21;26;80.8;21;0;1201;7673;4306;1266;1236;97.6;12;8;Matches
4;Suleiman Abdullahi\Suleiman-Abdullahi;ng NGA;FWMF;Union Berlin;de Bundesliga;22;1996;1.7;62;1;9;22;33;10;62;2;4;50.0;3;1;37;279;177;77;39;50.6;6;2;Matches
5;Mehdi Abeid\Mehdi-Abeid;dz ALG;MF;Nantes;fr Ligue 1;26;1992;20.2;1176;22;211;754;283;20;1091;12;22;54.5;12;0;782;4298;2116;854;759;88.9;14;26;Matches
6;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;fr Ligue 1;19;2000;6.9;208;7;18;108;95;23;196;16;21;76.2;16;0;136;938;492;309;142;46.0;25;12;Matches
7;David Abraham\David-Abraham;ar ARG;DF;Eint Frankfurt;de Bundesliga;33;1986;18.8;1073;108;482;588;87;11;1022;9;11;81.8;11;1;662;4121;2352;639;619;96.9;6;2;Matches
8;Tammy Abraham\Tammy-Abraham;eng ENG;FW;Chelsea;eng Premier League;21;1997;24.6;739;31;59;354;352;165;688;21;36;58.3;22;0;427;2317;1164;1076;495;46.0;71;47;Matches
9;Amir Abrashi\Amir-Abrashi;al ALB;MF;Freiburg;de Bundesliga;29;1990;7.4;438;21;141;256;64;3;423;7;10;70.0;7;0;291;1484;572;288;261;90.6;8;8;Matches
10;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;it Serie A;31;1988;35.1;2365;370;1206;1158;202;34;2287;15;17;88.2;15;0;1559;11551;6232;1641;1600;97.5;8;7;Matches
