,Player,Nation,Age,Squad,Comp,Rk,Min,Gls,Ast,xG,npxG,xA,GCA,Def_GCA,Drib_GCA,Fld_GCA,OG_GCA,PassDead_GCA,PassLive_GCA,Sh_GCA,SCA,Def_SCA,Drib_SCA,Fld_SCA,PassDead_SCA,PassLive_SCA,Sh_SCA,Blocks,Press,Succ_Press,Tkl,TklW,Int,Tkl+Int,Clr,Att_Pass,Cmp_Pass,TotPrgDist_Pass,#Prog_Pass,TotPrgDist_Carried,TotDist_Carried,Oppon_Drib,Att_Drib,Recep,Att_Recep,Live_Touches,played_two_leagues
1415,Abdul Majeed Waris,GHA,27,Strasbourg,Ligue 1,1509,371,2,1,1.8,1.8,0.7,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,49.0,18.0,9.0,6,4,13,0.0,89.0,65.0,240.0,9.0,732.0,994.0,12.0,20.0,116.0,169.0,155.0,False
1416,Zan Majer,SVN,27,Lecce,Serie A,1510,1664,1,1,2.3,2.3,1.4,4.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,42.0,1.0,1.0,2.0,1.0,37.0,0.0,42.0,407.0,93.0,34.0,20,18,52,24.0,746.0,593.0,2677.0,54.0,2165.0,3867.0,13.0,24.0,598.0,683.0,909.0,False
1417,Jean Victor Makengo,FRA,21,Toulouse,Ligue 1,1511,988,2,0,0.7,0.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,1.0,0.0,19.0,0.0,10.0,211.0,62.0,16.0,10,3,19,6.0,447.0,373.0,1495.0,42.0,1946.0,3334.0,20.0,31.0,457.0,530.0,564.0,False
1418,Nemanja Maksimovic,SRB,24,Getafe,La Liga,1512,2895,2,0,3.1,3.1,0.9,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,37.0,0.0,0.0,3.0,2.0,29.0,3.0,47.0,698.0,206.0,53.0,34,40,93,56.0,730.0,534.0,2048.0,47.0,1007.0,2222.0,10.0,14.0,396.0,552.0,925.0,False
1419,Nikola Maksimovic,SRB,27,Napoli,Serie A,1513,1799,1,1,0.7,0.7,0.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,12.0,0.0,31.0,176.0,42.0,36.0,21,19,55,66.0,1389.0,1287.0,9103.0,63.0,3779.0,6570.0,6.0,9.0,1151.0,1163.0,1501.0,False
1420,Kevin Malcuit,MAR,28,Napoli,Serie A,1514,256,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,30.0,6.0,8.0,5,3,11,1.0,174.0,142.0,588.0,9.0,393.0,709.0,6.0,9.0,123.0,140.0,168.0,False
1421,Daniel Maldini,ITA,17,Milan,Serie A,1515,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0,0,0,0.0,16.0,13.0,19.0,0.0,66.0,104.0,0.0,1.0,17.0,22.0,21.0,False
1422,Ruslan Malinovskyi,UKR,26,Atalanta,Serie A,1516,1535,8,3,4.7,3.9,5.1,9.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,115.0,3.0,18.0,9.0,10.0,68.0,7.0,16.0,319.0,91.0,21.0,15,3,24,8.0,979.0,779.0,3870.0,106.0,3330.0,6430.0,60.0,82.0,972.0,1110.0,1176.0,False
1423,Yunus Malli,TUR,27,Union Berlin,Bundesliga,1517,673,0,1,0.7,0.7,0.7,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,4.0,0.0,10.0,1.0,8.0,110.0,26.0,9.0,4,3,12,4.0,213.0,152.0,495.0,13.0,675.0,1237.0,5.0,11.0,220.0,290.0,295.0,False
1424,Hugo Mallo,ESP,28,Celta Vigo,La Liga,1518,1965,0,1,0.2,0.2,1.8,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,2.0,2.0,2.0,22.0,0.0,53.0,292.0,79.0,63.0,28,14,77,90.0,1301.0,998.0,7121.0,77.0,1980.0,3942.0,8.0,12.0,866.0,951.0,1308.0,False
