,Player,Nation,Age,Squad,Comp,Rk,Min,Gls,Ast,xG,npxG,xA,GCA,Def_GCA,Drib_GCA,Fld_GCA,OG_GCA,PassDead_GCA,PassLive_GCA,Sh_GCA,SCA,Def_SCA,Drib_SCA,Fld_SCA,PassDead_SCA,PassLive_SCA,Sh_SCA,Blocks,Press,Succ_Press,Tkl,TklW,Int,Tkl+Int,Clr,Att_Pass,Cmp_Pass,TotPrgDist_Pass,#Prog_Pass,TotPrgDist_Carried,TotDist_Carried,Oppon_Drib,Att_Drib,Recep,Att_Recep,Live_Touches,played_two_leagues
0,Patrick van Aanholt,NED,28,Crystal Palace, Premier League,1,2507,3,2,2.4,1.6,3.2,5.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,62.0,0.0,3.0,2.0,23.0,32.0,2.0,57.0,267.0,74.0,51.0,32,23,74,67.0,1558.0,1227.0,9280.0,129.0,3129.0,5651.0,18.0,36.0,994.0,1079.0,1458.0,False
1,Max Aarons,ENG,19,Norwich City, Premier League,2,3240,0,1,0.5,0.5,3.4,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,55.0,1.0,3.0,4.0,2.0,42.0,3.0,100.0,487.0,132.0,64.0,36,20,84,86.0,1684.0,1316.0,6834.0,77.0,5439.0,9489.0,55.0,94.0,1244.0,1399.0,1821.0,False
2,Yunis Abdelhamid,MAR,31,Reims,Ligue 1,3,2520,3,0,1.3,1.3,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,1.0,0.0,11.0,4.0,43.0,299.0,111.0,61.0,37,24,85,166.0,1515.0,1328.0,9041.0,80.0,4306.0,7673.0,21.0,26.0,1236.0,1266.0,1782.0,False
3,Suleiman Abdullahi,NGA,22,Union Berlin,Bundesliga,4,157,1,0,1.3,1.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,25.0,9.0,1.0,1,1,2,2.0,40.0,18.0,132.0,3.0,177.0,279.0,3.0,4.0,39.0,77.0,62.0,False
4,Mehdi Abeid,ALG,26,Nantes,Ligue 1,5,1817,1,2,1.6,1.6,1.4,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,46.0,1.0,1.0,1.0,14.0,27.0,2.0,18.0,417.0,114.0,60.0,41,17,77,22.0,957.0,801.0,3850.0,59.0,2116.0,4298.0,12.0,22.0,759.0,854.0,1091.0,False
5,Charles Abi,FRA,19,Saint-Étienne,Ligue 1,6,623,0,0,0.2,0.2,1.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,8.0,0.0,1.0,181.0,53.0,10.0,8,4,14,5.0,132.0,74.0,199.0,8.0,492.0,938.0,16.0,21.0,142.0,309.0,196.0,False
6,David Abraham,ARG,33,Eint Frankfurt,Bundesliga,7,1688,2,0,1.4,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,10.0,1.0,32.0,200.0,75.0,30.0,22,16,46,87.0,896.0,742.0,6079.0,100.0,2352.0,4121.0,11.0,11.0,619.0,639.0,1022.0,False
7,Tammy Abraham,ENG,21,Chelsea, Premier League,8,2215,15,3,14.1,14.1,2.5,10.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,50.0,3.0,6.0,2.0,0.0,33.0,6.0,23.0,430.0,130.0,14.0,10,5,19,26.0,412.0,288.0,811.0,31.0,1164.0,2317.0,22.0,36.0,495.0,1076.0,688.0,False
8,Amir Abrashi,ALB,29,Freiburg,Bundesliga,9,663,0,0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,8.0,0.0,19.0,164.0,41.0,23.0,13,8,31,15.0,342.0,298.0,1028.0,21.0,572.0,1484.0,7.0,10.0,261.0,288.0,423.0,False
9,Francesco Acerbi,ITA,31,Lazio,Serie A,10,3162,2,2,2.0,2.0,1.6,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,1.0,1.0,0.0,24.0,1.0,61.0,320.0,115.0,52.0,33,28,80,165.0,2011.0,1809.0,12495.0,119.0,6232.0,11551.0,15.0,17.0,1600.0,1641.0,2287.0,False
10,Che Adams,ENG,23,Southampton, Premier League,11,1111,4,2,4.0,4.0,1.2,5.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,25.0,1.0,3.0,4.0,0.0,15.0,2.0,10.0,231.0,58.0,8.0,6,3,11,10.0,265.0,184.0,631.0,19.0,847.0,1841.0,15.0,27.0,315.0,657.0,433.0,False
11,Tyler Adams,USA,20,RB Leipzig,Bundesliga,12,953,0,0,0.4,0.4,0.5,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,1.0,1.0,14.0,2.0,22.0,194.0,60.0,23.0,12,7,30,16.0,699.0,595.0,2653.0,38.0,1118.0,2484.0,6.0,11.0,554.0,602.0,737.0,False
12,Sargis Adamyan,ARM,26,Hoffenheim,Bundesliga,13,746,5,1,4.1,4.1,0.9,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,20.0,0.0,1.0,2.0,0.0,16.0,1.0,5.0,209.0,45.0,10.0,4,3,13,5.0,191.0,140.0,429.0,13.0,834.0,1591.0,13.0,24.0,212.0,404.0,297.0,False
13,Antonio Adan,ESP,32,Atlético Madrid,La Liga,14,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6.0,4.0,98.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,6.0,False
14,Bobby Adekanye,NED,20,Lazio,Serie A,15,188,1,0,1.7,1.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,60.0,10.0,4.0,3,2,6,1.0,46.0,41.0,68.0,1.0,241.0,410.0,4.0,4.0,50.0,82.0,68.0,False
15,Claud Adjapong,ITA,21,Hellas Verona,Serie A,16,231,0,0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,50.0,12.0,5.0,3,3,8,9.0,80.0,61.0,358.0,5.0,214.0,440.0,2.0,3.0,63.0,76.0,98.0,False
16,Amine Adli,FRA,19,Toulouse,Ligue 1,17,46,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,17.0,4.0,0.0,0,1,1,0.0,27.0,21.0,127.0,4.0,144.0,259.0,3.0,4.0,23.0,26.0,28.0,False
17,Yacine Adli,FRA,19,Bordeaux,Ligue 1,18,1020,3,3,0.9,0.9,2.0,7.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,38.0,1.0,4.0,1.0,5.0,25.0,2.0,11.0,328.0,86.0,27.0,18,9,36,4.0,581.0,460.0,1964.0,55.0,1986.0,3296.0,28.0,42.0,549.0,612.0,695.0,False
18,Adrian,ESP,32,Liverpool, Premier League,19,875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0.0,314.0,227.0,3815.0,0.0,355.0,641.0,0.0,0.0,154.0,155.0,244.0,False
19,Aritz Aduriz,ESP,38,Athletic Club,La Liga,20,208,1,0,1.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,4.0,1.0,1,0,1,3.0,57.0,33.0,88.0,3.0,46.0,147.0,2.0,2.0,64.0,117.0,81.0,False
20,Lumor Agbenyenu,GHA,22,Mallorca,La Liga,21,1805,1,0,0.3,0.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,3.0,4.0,23.0,1.0,37.0,225.0,66.0,35.0,23,11,46,62.0,969.0,709.0,6166.0,71.0,2641.0,4849.0,30.0,45.0,599.0,665.0,964.0,False
21,Martin Agirregabiria,ESP,23,Alavés,La Liga,22,2099,1,1,0.9,0.9,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,0.0,2.0,2.0,1.0,18.0,0.0,39.0,248.0,60.0,50.0,22,9,59,68.0,1014.0,722.0,6069.0,60.0,1909.0,3313.0,16.0,26.0,608.0,677.0,986.0,False
22,Lucien Agoume,FRA,17,Inter,Serie A,23,68,0,0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,15.0,2.0,4.0,3,1,5,1.0,39.0,36.0,201.0,5.0,49.0,145.0,0.0,0.0,29.0,31.0,48.0,False
23,Nayef Aguerd,MAR,23,Dijon,Ligue 1,26,957,1,0,0.7,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,106.0,28.0,14.0,11,10,24,88.0,572.0,487.0,4421.0,21.0,1080.0,2145.0,1.0,2.0,469.0,477.0,700.0,False
24,Sergio Aguero,ARG,31,Manchester City, Premier League,27,1452,16,3,14.0,11.8,2.4,8.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,51.0,0.0,9.0,5.0,0.0,28.0,9.0,15.0,222.0,56.0,7.0,5,2,9,3.0,367.0,284.0,786.0,32.0,1404.0,2536.0,28.0,45.0,450.0,780.0,551.0,False
25,Ruben Aguilar,FRA,26,Monaco,Ligue 1,28,1072,0,2,0.1,0.1,1.5,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,24.0,1.0,0.0,1.0,0.0,22.0,0.0,11.0,203.0,71.0,39.0,28,11,50,25.0,791.0,666.0,4090.0,51.0,1858.0,3148.0,17.0,26.0,601.0,649.0,816.0,False
26,Emmanuel Agyemang Badu,GHA,28,Hellas Verona,Serie A,29,230,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,30.0,4.0,2.0,1,1,3,6.0,104.0,91.0,291.0,6.0,267.0,634.0,0.0,1.0,90.0,116.0,128.0,False
27,Jean Eudes Aholou,CIV,25,Saint-Étienne,Ligue 1,30,630,1,1,0.8,0.8,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,1.0,0.0,7.0,0.0,8.0,148.0,57.0,21.0,19,12,33,13.0,313.0,262.0,830.0,19.0,733.0,1465.0,12.0,13.0,269.0,306.0,405.0,False
28,Joseph Aidoo,GHA,23,Celta Vigo,La Liga,31,2502,0,1,0.8,0.8,0.8,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,1.0,9.0,2.0,42.0,304.0,108.0,40.0,26,33,73,162.0,1223.0,1073.0,6712.0,62.0,2312.0,5392.0,12.0,15.0,934.0,954.0,1475.0,False
29,Ola Aina,NGA,22,Torino,Serie A,32,2079,0,2,0.4,0.4,2.2,7.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,46.0,1.0,4.0,5.0,11.0,25.0,0.0,70.0,328.0,95.0,49.0,28,26,75,56.0,1160.0,863.0,6409.0,84.0,4212.0,6764.0,59.0,94.0,855.0,937.0,1243.0,False
30,Youssef Ait Bennasser,MAR,23,Bordeaux,Ligue 1,33,536,0,1,0.0,0.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,164.0,48.0,11.0,7,5,16,7.0,413.0,357.0,1555.0,38.0,678.0,1357.0,7.0,12.0,349.0,369.0,466.0,False
31,Rayan Ait Nouri,FRA,18,Angers,Ligue 1,34,1282,0,2,0.2,0.2,0.8,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22.0,1.0,0.0,1.0,3.0,17.0,0.0,32.0,224.0,83.0,32.0,18,13,45,51.0,801.0,625.0,4747.0,49.0,2409.0,3810.0,22.0,41.0,565.0,609.0,846.0,False
32,Albian Ajeti,SUI,22,West Ham, Premier League,35,139,0,0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,1.0,1.0,0,1,2,0.0,18.0,15.0,8.0,0.0,16.0,75.0,0.0,0.0,24.0,64.0,32.0,False
33,Ludovic Ajorque,REU,25,Strasbourg,Ligue 1,36,2058,8,4,6.2,5.4,3.0,10.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,36.0,1.0,3.0,2.0,0.0,27.0,3.0,11.0,280.0,75.0,18.0,14,3,21,23.0,509.0,371.0,927.0,27.0,874.0,1900.0,15.0,27.0,580.0,977.0,731.0,False
34,Manuel Akanji,SUI,24,Dortmund,Bundesliga,37,2309,0,1,0.8,0.8,0.8,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,1.0,9.0,0.0,35.0,223.0,86.0,44.0,23,18,62,85.0,1929.0,1767.0,11998.0,85.0,4667.0,9126.0,9.0,12.0,1657.0,1683.0,2093.0,False
35,Marley Ake,FRA,18,Marseille,Ligue 1,38,99,0,0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,15.0,4.0,4.0,2,2,6,0.0,29.0,25.0,68.0,2.0,133.0,246.0,3.0,4.0,28.0,46.0,41.0,False
36,Nathan Ake,NED,24,Bournemouth, Premier League,39,2503,2,2,2.4,2.4,0.6,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,1.0,1.0,0.0,7.0,4.0,59.0,222.0,66.0,25.0,11,27,52,176.0,1183.0,1042.0,7029.0,57.0,2906.0,5259.0,5.0,5.0,900.0,948.0,1455.0,False
37,Chadrac Akolo,COD,24,Amiens,Ligue 1,40,544,2,1,1.0,1.0,1.2,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,17.0,3.0,2.0,1.0,0.0,9.0,2.0,8.0,140.0,43.0,17.0,13,5,22,4.0,206.0,172.0,811.0,26.0,607.0,1065.0,12.0,19.0,196.0,256.0,278.0,False
38,Kevin Akpoguma,NGA,24,Hoffenheim,Bundesliga,41,1142,0,0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,31.0,169.0,56.0,27.0,11,11,38,67.0,754.0,659.0,3663.0,26.0,1682.0,3094.0,3.0,4.0,619.0,637.0,882.0,False
39,David Alaba,AUT,27,Bayern Munich,Bundesliga,42,2498,1,1,0.7,0.7,2.1,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,38.0,0.0,1.0,0.0,2.0,33.0,2.0,40.0,208.0,80.0,27.0,17,11,38,65.0,2478.0,2250.0,15534.0,222.0,7669.0,13997.0,7.0,10.0,2068.0,2099.0,2555.0,False
40,Sofiane Alakouch,FRA,21,Nîmes,Ligue 1,43,1400,0,0,0.6,0.6,1.1,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,25.0,0.0,1.0,1.0,1.0,22.0,0.0,23.0,250.0,78.0,49.0,30,18,67,35.0,810.0,664.0,4858.0,64.0,2168.0,3248.0,20.0,34.0,509.0,558.0,802.0,False
41,Lucas Alario,ARG,26,Leverkusen,Bundesliga,44,1174,7,1,7.1,6.3,2.1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,30.0,0.0,2.0,0.0,0.0,21.0,7.0,9.0,185.0,51.0,7.0,2,2,9,5.0,308.0,227.0,375.0,13.0,449.0,1344.0,17.0,21.0,349.0,655.0,436.0,False
42,Jordi Alba,ESP,30,Barcelona,La Liga,45,2187,2,5,1.1,1.1,3.3,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,45.0,0.0,0.0,0.0,1.0,44.0,0.0,40.0,231.0,68.0,25.0,14,25,50,42.0,2141.0,1864.0,9511.0,141.0,3327.0,6405.0,12.0,19.0,1762.0,1907.0,2125.0,False
43,Luis Alberto,ESP,26,Lazio,Serie A,46,3113,6,15,7.1,6.4,10.8,29.0,1.0,0.0,1.0,1.0,2.0,22.0,2.0,206.0,3.0,16.0,2.0,37.0,135.0,12.0,43.0,677.0,202.0,52.0,34,16,68,16.0,2264.0,1792.0,11824.0,321.0,10758.0,16083.0,76.0,105.0,1943.0,2150.0,2387.0,False
44,Raul Albiol,ESP,33,Villarreal,La Liga,47,3237,1,0,1.4,1.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,40.0,278.0,85.0,50.0,33,17,67,254.0,1882.0,1619.0,12195.0,78.0,4484.0,7874.0,3.0,3.0,1492.0,1509.0,2209.0,False
45,Marc Albrighton,ENG,29,Leicester City, Premier League,48,867,0,3,0.6,0.6,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,1.0,0.0,2.0,22.0,1.0,18.0,191.0,65.0,23.0,11,9,32,7.0,507.0,344.0,2444.0,50.0,1179.0,2560.0,13.0,29.0,428.0,494.0,587.0,False
46,Kevin Agudelo,COL,20,Fiorentina / Genoa,Serie A ,49,730,1,1,1.4000000000000001,1.4000000000000001,1.4,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,4.0,7.0,1.0,0.0,25.0,0.0,13.0,239.0,52.0,28.0,19,6,34,3.0,337.0,274.0,1043.0,20.0,1806.0,2866.0,25.0,35.0,317.0,388.0,443.0,False
47,Thiago Alcantara,ESP,28,Bayern Munich,Bundesliga,51,1771,3,0,2.5,2.5,1.0,8.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,57.0,1.0,3.0,1.0,5.0,44.0,3.0,21.0,292.0,101.0,54.0,38,23,77,19.0,1840.0,1649.0,8766.0,197.0,3397.0,7066.0,61.0,70.0,1515.0,1576.0,1962.0,False
48,Ruben Alcaraz,ESP,28,Valladolid,La Liga,52,1927,2,2,1.7,1.7,0.8,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,44.0,0.0,5.0,5.0,6.0,24.0,4.0,57.0,444.0,130.0,59.0,36,16,75,68.0,1059.0,831.0,4979.0,72.0,2457.0,4731.0,21.0,29.0,743.0,811.0,1236.0,False
49,Toby Alderweireld,BEL,30,Tottenham, Premier League,53,2957,2,2,1.1,1.1,1.1,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,2.0,0.0,0.0,0.0,18.0,1.0,69.0,258.0,83.0,44.0,24,11,55,229.0,1895.0,1567.0,9766.0,87.0,3057.0,6529.0,0.0,2.0,1500.0,1535.0,2185.0,False
50,Haitam Aleesami,NOR,28,Amiens,Ligue 1,54,1916,1,1,0.1,0.1,1.3,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,1.0,0.0,0.0,3.0,23.0,0.0,55.0,374.0,105.0,44.0,28,26,70,98.0,1170.0,910.0,6447.0,98.0,1987.0,3835.0,22.0,32.0,763.0,830.0,1209.0,False
51,Alex Alegria,ESP,26,Mallorca,La Liga,55,109,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,6.0,1.0,0,1,2,0.0,35.0,23.0,41.0,0.0,80.0,166.0,1.0,2.0,40.0,68.0,49.0,False
52,Runar Alex Runarsson,ISL,24,Dijon,Ligue 1,58,901,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1.0,327.0,237.0,4998.0,0.0,279.0,549.0,1.0,1.0,145.0,146.0,246.0,False
53,Trent Alexander Arnold,ENG,20,Liverpool, Premier League,59,3175,4,13,2.8,2.8,9.9,24.0,0.0,0.0,0.0,1.0,7.0,14.0,2.0,152.0,1.0,3.0,1.0,50.0,91.0,5.0,53.0,409.0,131.0,58.0,25,34,92,98.0,3147.0,2254.0,19993.0,274.0,5709.0,9338.0,30.0,56.0,2230.0,2363.0,2865.0,False
54,Enrico Alfonso,ITA,31,Brescia,Serie A,60,279,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,75.0,53.0,856.0,0.0,77.0,133.0,0.0,0.0,23.0,24.0,48.0,False
55,Rachid Alioui,MAR,27,Angers,Ligue 1,61,1563,6,1,5.3,5.3,1.4,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,39.0,0.0,4.0,2.0,0.0,30.0,3.0,4.0,373.0,84.0,13.0,11,4,17,10.0,467.0,342.0,717.0,24.0,1064.0,2189.0,25.0,30.0,496.0,851.0,610.0,False
56,Alisson,BRA,26,Liverpool, Premier League,62,2543,0,1,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,0.0,0,1,1,2.0,925.0,794.0,12306.0,1.0,1090.0,2115.0,0.0,0.0,490.0,494.0,760.0,False
57,Allan,BRA,28,Napoli,Serie A,63,1280,2,1,0.7,0.7,1.1,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,41.0,1.0,4.0,0.0,0.0,36.0,0.0,26.0,411.0,105.0,55.0,36,5,60,16.0,829.0,718.0,3236.0,58.0,1820.0,3842.0,20.0,29.0,728.0,781.0,966.0,False
58,Dele Alli,ENG,23,Tottenham, Premier League,64,1847,8,4,7.1,6.3,2.0,12.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,54.0,1.0,9.0,2.0,1.0,39.0,2.0,53.0,479.0,135.0,41.0,29,7,48,17.0,805.0,621.0,2384.0,65.0,2502.0,4583.0,36.0,63.0,773.0,1102.0,1076.0,False
59,Miguel Almiron,PAR,25,Newcastle Utd, Premier League,65,3021,4,2,6.3,6.3,1.6,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,80.0,3.0,7.0,7.0,0.0,58.0,5.0,44.0,732.0,175.0,62.0,36,20,82,16.0,894.0,682.0,2574.0,66.0,5223.0,9230.0,54.0,93.0,894.0,1281.0,1297.0,False
60,Marcos Alonso,ESP,28,Chelsea, Premier League,66,1430,4,2,2.0,2.0,2.2,6.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,47.0,0.0,1.0,3.0,5.0,36.0,2.0,30.0,215.0,88.0,27.0,19,14,41,48.0,1108.0,916.0,4972.0,70.0,2731.0,4756.0,12.0,19.0,829.0,928.0,1146.0,False
61,Mickael Alphonse,NotKnown,30,Dijon,Ligue 1,67,1378,0,1,0.2,0.2,0.3,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,17.0,0.0,0.0,1.0,4.0,12.0,0.0,38.0,221.0,59.0,43.0,19,13,56,82.0,716.0,500.0,3680.0,52.0,1838.0,3110.0,22.0,30.0,485.0,539.0,779.0,False
62,Sergio Alvarez,ESP,32,Celta Vigo,La Liga,68,180,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,427.0,322.0,1719.0,32.0,39.0,62.0,0.0,0.0,23.0,23.0,33.0,False
63,Sergio Alvarez,ESP,27,Eibar,La Liga,69,1147,0,0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,265.0,80.0,37.0,20,9,46,58.0,53.0,39.0,579.0,0.0,506.0,1465.0,6.0,9.0,278.0,297.0,560.0,False
64,Yeray Alvarez,ESP,24,Athletic Club,La Liga,70,2810,0,0,1.2,1.2,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,1.0,0.0,1.0,0.0,17.0,0.0,58.0,222.0,79.0,39.0,25,34,73,264.0,1403.0,1149.0,8436.0,84.0,3552.0,6375.0,11.0,13.0,1021.0,1037.0,1754.0,False
65,Bruno Alves,POR,37,Parma,Serie A,71,2671,0,0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,11.0,2.0,40.0,172.0,49.0,23.0,11,15,38,189.0,1312.0,1096.0,10181.0,76.0,3055.0,5611.0,2.0,3.0,981.0,1006.0,1510.0,False
66,Steven Alzate,COL,20,Brighton, Premier League,72,1188,0,0,1.2,1.2,0.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,5.0,1.0,0.0,22.0,2.0,26.0,235.0,77.0,28.0,23,10,38,14.0,664.0,564.0,2602.0,56.0,2141.0,3825.0,35.0,50.0,557.0,638.0,787.0,False
67,Romain Amalfitano,FRA,29,Dijon,Ligue 1,75,1695,1,1,0.3,0.3,0.9,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,1.0,3.0,3.0,0.0,18.0,2.0,25.0,438.0,123.0,43.0,22,17,60,22.0,892.0,700.0,4183.0,89.0,2625.0,4929.0,31.0,43.0,727.0,773.0,1071.0,False
68,Amath,SEN,23,Getafe,La Liga,76,66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,36.0,10.0,2.0,0,1,3,1.0,17.0,12.0,65.0,1.0,136.0,212.0,4.0,8.0,20.0,32.0,34.0,False
69,Jordan Amavi,FRA,25,Marseille,Ligue 1,77,2164,1,1,0.5,0.5,1.4,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,2.0,1.0,1.0,1.0,21.0,1.0,53.0,287.0,88.0,62.0,28,30,92,131.0,1222.0,983.0,6119.0,75.0,3378.0,5645.0,32.0,56.0,865.0,945.0,1379.0,False
70,Thierry Ambrose,FRA,22,Metz,Ligue 1,78,548,0,0,1.3,1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4.0,1.0,0.0,17.0,1.0,5.0,122.0,37.0,7.0,5,4,11,3.0,193.0,140.0,752.0,17.0,1510.0,2250.0,27.0,45.0,229.0,304.0,310.0,False
71,Kelvin Amian,FRA,21,Toulouse,Ligue 1,79,1633,0,2,0.7,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,10.0,1.0,25.0,218.0,51.0,27.0,15,12,39,61.0,669.0,551.0,3663.0,56.0,2285.0,3751.0,9.0,18.0,434.0,480.0,697.0,False
72,Nadiem Amiri,GER,22,Leverkusen,Bundesliga,80,1857,1,2,2.5,2.5,5.9,9.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,89.0,0.0,6.0,2.0,22.0,57.0,2.0,28.0,287.0,99.0,18.0,13,14,32,9.0,1149.0,906.0,4293.0,96.0,3310.0,6045.0,35.0,54.0,933.0,1130.0,1221.0,False
