Player;Nation;Age;Squad;Comp;played_two_leagues;#Prog_Pass;Ast;Att_Drib;Att_Pass;Att_Recep;Blocks;Clr;Cmp_Pass;Def_GCA;Def_SCA;Drib_GCA;Drib_SCA;Fld_GCA;Fld_SCA;GCA;Gls;Int;Live_Touches;Marktvalue;Min;npxG;OG_GCA;Oppon_Drib;PassDead_SCA;PassLive_GCA;PassLive_SCA;Press;Recep;Rk;SCA;Sh_SCA;Succ_Press;Tkl;Tkl+Int;TklW;TotDist_Carried;TotPrgDist_Carried;TotPrgDist_Pass;xA;xG;PassDead_GCA;Sh_GCA
Lucas Perrin;FRA;20;Marseille;Ligue 1;Falsch;4;0;3;256;220;4;22;238;0;0;0;0;0;0;0;0;6;295;1800000;360;0.3;0;2;1;0;1;37;217;1959;2;0;14;11;17;6;1077;578;1862;0;0.3;0;0
Conor Hourihane;IRL;28;Aston Villa;Premier League;Falsch;44;5;9;721;585;27;24;542;0;0;0;0;0;3;7;3;3;703;6000000;1534;1.6;0;6;27;2;25;224;492;1118;57;2;38;21;24;14;1693;724;3235;5.1;1.6;5;0
Thiago Silva;BRA;34;Paris S-G;Ligue 1;Falsch;89;0;7;1502;1308;27;71;1440;0;1;0;0;0;0;2;0;14;1631;4800000;1571;0.2;0;4;0;2;13;91;1292;2322;14;0;41;33;47;21;6214;4022;9937;0;0.2;0;0
Isaac Lihadji;FRA;17;Marseille;Ligue 1;Falsch;3;0;0;16;23;0;0;12;0;0;0;0;0;0;0;0;0;18;3200000;25;0;0;0;0;0;1;9;17;1418;1;0;3;0;0;0;169;126;62;0;0;0;0
Takehiro Tomiyasu;JPN;20;Bologna;Serie A;Falsch;151;3;47;1644;1232;65;107;1367;0;1;1;2;0;1;5;1;34;1715;13500000;2528;1;0;30;0;4;30;420;1165;2499;37;3;128;48;82;28;8007;4791;10130;1.1;1;0;0
Ruben Vezo;ESP;35;Osasuna;La Liga;Falsch;0;0;2;525;199;0;1;269;0;0;0;0;0;0;0;0;0;356;4800000;1583;0;0;2;2;0;0;1;197;2173;2;0;1;0;0;0;1618;957;9004;0;0;0;0
Sofiane Alakouch;FRA;21;Nîmes;Ligue 1;Falsch;64;0;34;810;558;23;35;664;0;0;0;1;0;1;3;0;18;802;3200000;1400;0.6;0;20;1;3;22;250;509;43;25;0;78;49;67;30;3248;2168;4858;1.1;0.6;0;0
Marko Rog;CRO;24;Cagliari;Serie A;Falsch;90;1;78;1178;1068;54;11;1007;0;1;0;6;0;6;8;1;29;1426;12000000;2317;2;0;62;6;6;46;633;968;2146;70;5;186;86;115;62;7322;4541;4199;1.6;2;0;2
Dani Martin;ESP;21;Betis;La Liga;Falsch;0;0;0;194;99;0;0;146;0;0;0;0;0;0;0;0;0;153;2700000;531;0;0;0;0;0;2;0;99;1562;2;0;0;0;0;0;449;271;2381;0.1;0;0;0
Hernani;POR;27;Levante;La Liga;Falsch;9;0;29;171;277;12;6;91;0;0;0;5;0;2;0;2;4;269;3200000;654;1.6;0;15;1;0;14;70;189;873;22;0;14;4;8;3;1917;1335;657;1.7;1.6;0;0
Manu Morlanes;ESP;20;Villarreal;La Liga;Falsch;19;1;3;192;165;1;2;177;0;0;0;0;0;0;1;0;2;199;1800000;253;0;0;3;0;1;8;66;158;1708;8;0;17;6;8;5;574;323;991;0.5;0;0;0
Kingsley Ehizibue;NED;24;Köln;Bundesliga;Falsch;74;1;65;1137;878;50;93;850;0;1;1;5;0;2;4;1;28;1298;2000000;2329;1;0;39;4;3;27;443;800;763;40;1;126;93;121;51;5329;3167;6528;1.2;1;0;0
Domagoj Bradaric;CRO;19;Lille;Ligue 1;Falsch;52;1;17;829;640;26;44;625;0;1;0;0;0;1;2;0;13;827;5800000;1419;0.4;0;11;4;2;23;220;581;351;30;1;62;29;42;14;3563;2237;3811;1.7;0.4;0;0
Sam Surridge;ENG;21;Bournemouth;Premier League;Falsch;1;0;2;10;36;1;0;4;0;0;0;0;0;0;0;0;1;20;450000;27;0.4;0;1;0;0;0;16;17;2425;0;0;3;0;1;0;72;46;22;0;0.4;0;0
Artur Ionita;MDA;28;Cagliari;Serie A;Falsch;39;2;22;708;683;39;25;599;0;1;0;2;0;1;2;0;8;855;3500000;1897;0.9;0;16;0;2;29;367;550;1162;34;1;98;36;44;20;3579;1923;2320;0.7;0.9;0;0
Alireza Jahanbakhsh;IRN;25;Brighton;Premier League;Falsch;8;0;13;140;180;5;4;84;0;0;0;1;0;1;1;2;0;190;6500000;311;0.5;1;7;0;0;5;51;142;1174;8;0;20;7;7;3;778;402;377;0;0.5;0;0
Agustin Rogel;URU;21;Toulouse;Ligue 1;Falsch;14;0;1;338;285;21;50;295;0;0;0;0;0;0;0;0;1;416;1400000;858;0.3;0;1;0;0;2;80;273;2147;2;0;22;11;12;7;1475;783;1981;0.1;0.3;0;0
Roland Sallai;HUN;22;Freiburg;Bundesliga;Falsch;25;0;48;343;546;15;5;237;0;0;0;3;1;4;2;2;7;534;3500000;1162;2.5;0;29;0;1;23;196;396;2215;31;1;55;22;29;17;3176;1677;837;1.5;2.5;0;0
Brais Mendez;ESP;22;Celta Vigo;La Liga;Falsch;65;2;42;686;806;19;28;519;0;0;0;2;0;3;5;0;5;868;12000000;1477;1.5;0;27;5;3;26;314;655;1631;36;0;68;22;27;13;2999;1617;2678;1.1;1.5;2;0
Pietro Terracciano;ITA;29;Fiorentina;Serie A;Falsch;0;0;0;210;71;0;0;145;0;0;0;0;0;0;0;0;0;149;400000;624;0;0;0;0;0;1;1;71;2466;1;0;0;0;0;0;531;266;1762;0;0;0;0
Renato Sanches;POR;21;Bayern Munich / Lille;Bundesliga / Ligue 1;Wahr;95;1;73;1015;978;25;14;823;0;0;0;6;0;4;4;3;14;1143;16000000;1489;1.7;0;50;15;2;36;414;875;4453;64;3;127;32;46;25;5524;3634;4241;2.5;1.9;2;0
Simon Terodde;GER;31;Köln;Bundesliga;Falsch;11;1;5;164;391;14;14;102;0;0;0;1;0;1;3;3;4;267;2400000;813;6.7;0;3;0;3;11;218;169;2465;14;1;54;13;17;5;546;254;383;0.8;6.7;0;0
Nicola Sansone;ITA;27;Bologna;Serie A;Falsch;90;3;89;986;1231;28;10;715;0;1;1;13;0;7;12;4;12;1248;6000000;2269;6.2;1;52;19;6;58;458;978;2244;106;7;125;34;46;20;7041;4239;4071;4;9.2;2;2
Marcus Thuram;FRA;21;M'Gladbach;Bundesliga;Falsch;54;8;114;691;1311;28;22;473;0;1;4;14;1;12;13;10;11;1063;22500000;2202;10.1;0;73;0;8;48;457;815;2484;77;2;105;24;35;18;6493;4167;1699;6.8;10.1;0;0
Juan Ferney Otero;COL;24;Amiens;Ligue 1;Falsch;29;2;40;362;521;25;17;241;0;1;0;5;1;4;3;1;12;519;2400000;1202;1.5;0;15;0;2;18;270;347;849;29;1;61;15;27;11;2451;1371;1189;2;1.5;0;0
Ahmed Kutucu;TUR;19;Schalke 04;Bundesliga;Falsch;9;2;33;177;327;8;6;126;0;0;0;3;0;1;4;3;4;278;5400000;679;1.5;0;22;0;4;11;139;201;1340;18;3;46;13;17;9;1423;805;397;1.2;1.5;0;0
Havard Nordtveit;NOR;29;Hoffenheim;Bundesliga;Falsch;33;1;7;496;403;23;47;423;0;0;1;1;0;0;2;0;9;572;1600000;701;0.2;0;6;0;1;4;47;398;1806;6;1;11;4;13;2;1667;936;2834;0.3;0.2;0;0
Ander Iturraspe;ESP;30;Espanyol;La Liga;Falsch;5;0;0;70;46;2;6;53;0;0;0;0;0;0;0;0;1;81;2000000;242;0;0;0;0;0;3;43;37;1168;3;0;8;0;1;0;112;68;256;0;0;0;0
Yoann Court;FRA;29;Brest;Ligue 1;Falsch;51;7;27;549;685;23;17;378;1;3;0;1;0;2;8;3;12;726;1600000;1465;1.9;0;16;6;4;25;328;510;578;39;2;79;57;69;32;2865;1750;2059;2.2;1.9;2;1
Albert Lottin;FRA;17;Bordeaux;Ligue 1;Falsch;4;0;3;18;16;0;2;17;0;0;0;0;0;0;0;0;3;28;450000;45;0;0;2;0;0;0;21;16;1460;0;0;6;3;6;3;67;53;227;0;0;0;0
Chris Smalling;ENG;29;Roma;Serie A;Falsch;55;2;9;1440;1150;60;166;1306;0;0;0;0;0;1;4;3;23;1708;16000000;2566;1.9;0;7;0;3;22;187;1122;2350;24;1;62;36;59;23;5537;2661;7406;1.2;1.9;0;1
Joao Pedro;BRA;27;Cagliari;Serie A;Falsch;1;4;56;14;1375;43;38;10;0;0;0;1;0;0;0;18;6;1244;18000000;3151;9;0;33;0;0;1;430;939;1921;2;0;104;22;28;16;4980;2421;37;2.7;13.6;0;0
Andrea Tabanelli;ITA;29;Lecce;Serie A;Falsch;26;0;23;353;417;20;18;281;0;0;0;0;0;1;1;1;11;491;725000;964;0.9;0;15;2;1;9;206;344;2436;12;0;47;18;29;12;2471;1372;1237;0.1;0.9;0;0
Gelson Martins;POR;24;Monaco;Ligue 1;Falsch;50;1;104;784;898;17;8;624;0;1;0;11;0;2;7;4;24;945;20000000;1674;5.5;0;64;0;5;44;269;704;1576;61;3;70;31;55;20;7141;4443;2716;4.1;5.5;0;2
Christian Rivera;ESP;22;Leganés;La Liga;Falsch;7;0;3;132;111;7;5;114;0;0;0;0;0;0;0;0;3;161;1600000;311;0;0;2;0;0;2;48;103;2118;2;0;12;3;6;3;524;181;588;0.1;0;0;0
Ander Capa;ESP;27;Athletic Club;La Liga;Falsch;107;4;76;1598;1142;56;99;1188;0;1;0;5;0;1;6;3;20;1570;6000000;2872;1.1;0;57;7;6;35;438;1003;444;49;0;113;58;78;32;6938;4595;8414;3.4;1.1;0;0
Ilay Elmkies;ISR;19;Hoffenheim;Bundesliga;Falsch;1;0;0;4;4;0;0;4;0;0;0;0;0;0;0;0;0;5;525000;1;0;0;0;0;0;0;2;3;767;0;0;2;1;1;1;15;8;5;0;0;0;0
Habib Maiga;CIV;23;Metz;Ligue 1;Falsch;92;2;48;1309;1194;58;51;1059;1;3;0;2;0;0;9;1;23;1628;2800000;2266;1.6;0;36;0;7;30;783;1092;1505;38;3;198;96;119;68;7319;3489;4718;0.8;1.6;0;1
Brandon Williams;ENG;18;Manchester Utd;Premier League;Falsch;46;0;20;636;538;36;23;531;0;0;0;1;1;1;1;1;8;683;11000000;1006;0.7;0;15;1;0;21;166;500;2664;24;0;40;19;27;5;3205;2058;2692;0.6;0.7;0;0
Rafael Toloi;BRA;28;Atalanta;Serie A;Falsch;148;6;21;1654;1333;50;147;1363;1;2;0;2;1;1;10;2;25;1908;12000000;2608;2.5;0;16;1;7;32;351;1293;2497;41;3;125;69;94;51;7725;4411;10122;1.8;2.5;0;1
Bartosz Bereszynski;POL;27;Sampdoria;Serie A;Falsch;87;0;32;1332;932;72;97;1040;0;0;0;0;0;2;2;0;23;1398;6500000;2402;0.4;0;20;3;2;24;379;864;272;29;0;109;61;84;33;5061;2793;7631;0.7;0.4;0;0
Alex Sandro;BRA;28;Juventus;Serie A;Falsch;149;3;46;1973;1626;49;57;1699;0;1;0;2;0;5;6;1;33;2021;40000000;2385;0.7;0;32;4;5;58;297;1553;2236;71;1;84;42;75;25;8958;5297;10544;2.5;0.7;0;1
Bruno Ecuele Manga;GAB;31;Dijon;Ligue 1;Falsch;54;0;9;1309;1019;50;177;1143;0;0;0;0;0;0;1;0;25;1564;2200000;2520;1.2;0;6;0;0;8;213;1001;757;11;3;87;27;52;20;4819;2278;9269;0.1;1.2;0;1
Adrien Rabiot;FRA;24;Juventus;Serie A;Falsch;43;1;48;1141;1176;45;17;1017;0;2;1;2;1;5;6;1;26;1381;25500000;1912;1;0;37;0;3;39;495;1046;2041;51;3;149;56;82;39;6619;3354;2892;0.8;1;0;1
Patrick Cutrone;ITA;21;Fiorentina / Wolves;Serie A /  Premier League;Wahr;9;1;22;225;590;10;6;158;0;0;0;0;1;3;3;6;3;369;15500000;1135;6.4;0;13;0;2;13;319;264;1195;20;4;75;14;17;10;1589;727;357;1;6.4;0;0
Jerome Roussillon;FRA;26;Wolfsburg;Bundesliga;Falsch;87;1;71;1087;850;66;65;786;0;1;1;7;0;2;5;1;15;1171;16000000;2364;0.9;0;44;0;4;38;366;726;2169;48;0;132;42;57;27;5580;3660;5984;2.5;0.9;0;0
Marwin Hitz;SUI;31;Dortmund;Bundesliga;Falsch;0;0;0;100;53;0;0;84;0;0;0;0;0;0;0;0;0;76;2000000;290;0;0;0;0;0;0;0;51;1101;0;0;0;0;0;0;333;173;1016;0;0;0;0
Ronaldo Vieira;GNB;21;Sampdoria;Serie A;Falsch;95;1;24;942;767;29;49;784;0;0;0;2;0;2;2;0;13;1099;6300000;1819;1.5;0;15;4;2;36;485;704;2608;45;1;114;45;58;30;3838;1870;4347;1.1;1.5;0;0
Danijel Petkovic;MNE;26;Angers;Ligue 1;Falsch;0;0;0;54;10;0;0;39;0;0;0;0;0;0;0;0;0;33;725000;180;0;0;0;0;0;0;0;10;1964;0;0;0;0;0;0;110;63;841;0;0;0;0
Lillo Castellano;ESP;30;Osasuna;La Liga;Falsch;13;0;1;124;91;3;9;100;0;0;0;0;0;0;0;0;1;118;550000;195;0;0;1;0;0;3;19;82;1419;3;0;4;5;6;2;519;328;871;0.1;0;0;0
Fabio Borini;ITA;28;Hellas Verona / Milan;Serie A;Falsch;14;0;18;285;411;13;8;198;1;1;0;4;1;2;2;3;7;409;4000000;878;2.2;0;13;2;0;12;139;291;661;26;5;37;7;14;6;2063;1274;826;0.4;3;0;0
Alexander Esswein;GER;29;Hertha BSC;Bundesliga;Falsch;12;0;3;93;94;9;8;59;0;0;0;0;0;1;0;0;1;122;800000;213;0.3;0;2;0;0;3;66;80;791;4;0;12;8;9;3;430;255;324;1;0.3;0;0
Kevin NDoram;FRA;23;Metz;Ligue 1;Falsch;54;0;34;900;797;30;26;807;0;2;0;1;0;3;0;0;20;1056;2800000;1646;0.3;0;25;2;0;25;376;736;1751;33;0;108;50;70;34;4572;2373;3790;0.5;0.3;0;0
Morgan Gibbs White;ENG;19;Wolves;Premier League;Falsch;7;0;5;82;99;2;0;66;0;0;0;0;0;0;1;0;0;97;7200000;129;0.1;1;1;0;0;3;27;80;950;4;0;10;1;1;1;459;264;292;0.1;0.1;0;0
Luca Mazzitelli;ITA;23;Sassuolo;Serie A;Falsch;2;0;0;29;27;0;0;27;0;0;0;0;0;0;0;0;0;31;2400000;12;0;0;0;0;0;0;6;23;1601;0;0;3;1;1;0;82;47;62;0;0;0;0
Dalbert Henrique;BRA;25;Fiorentina;Serie A;Falsch;116;5;39;1290;1055;53;69;972;0;1;0;1;1;2;8;0;19;1375;;2484;0.6;0;19;3;6;55;500;952;1078;64;2;135;63;82;30;5163;3256;7340;3.7;0.6;0;1
Serhou Guirassy;FRA;23;Amiens;Ligue 1;Falsch;31;2;38;622;1260;14;21;455;0;0;1;3;5;11;10;9;5;886;8000000;1921;6.1;0;25;0;4;23;279;735;1033;37;0;67;6;11;4;3402;1539;1032;0.7;9.2;0;0
Sergi Gomez;ESP;27;Sevilla;La Liga;Falsch;12;0;1;486;411;11;46;434;0;0;0;0;0;0;0;0;2;544;4000000;717;0.1;0;1;0;0;4;47;405;979;5;1;19;7;9;4;1716;818;2609;0.1;0.1;0;0
Ethan Ampadu;WAL;18;RB Leipzig;Bundesliga;Falsch;1;0;0;78;69;2;7;74;0;0;0;0;0;0;0;0;0;92;9000000;81;0.2;0;0;0;0;0;15;69;81;0;0;8;5;5;3;369;237;445;0;0.2;0;0
Tachi;ESP;21;Alavés;La Liga;Falsch;2;0;0;59;40;9;16;43;0;0;0;0;0;0;0;0;2;80;800000;238;0;0;0;0;0;0;24;36;2437;0;0;6;2;4;1;106;54;402;0;0;0;0
Wout Weghorst;NED;26;Wolfsburg;Bundesliga;Falsch;61;3;47;818;1581;27;25;533;0;0;1;6;1;7;9;16;3;1139;21500000;2739;12;0;29;1;6;61;759;902;2651;83;8;213;15;18;9;2926;1290;1848;2.3;15;0;1
David Martin;ENG;33;West Ham;Premier League;Falsch;0;0;0;124;31;1;0;55;0;0;0;0;0;0;0;0;0;72;250000;436;0;0;0;0;0;0;1;31;1563;0;0;1;0;0;0;254;162;2411;0;0;0;0
Tobias Strobl;GER;29;M'Gladbach;Bundesliga;Falsch;38;0;5;394;323;10;6;347;1;1;0;0;0;0;1;0;8;438;3500000;615;0;0;5;0;0;5;124;314;2408;6;0;39;18;26;14;1219;588;2330;0.3;0;0;0
Mathias Suarez;URU;23;Montpellier;Ligue 1;Falsch;0;0;1;27;16;2;2;19;0;0;0;0;0;0;0;0;1;24;1000000;60;0;0;0;0;0;0;11;14;2416;0;0;2;2;3;2;30;3;169;0;0;0;0
Carles Perez;ESP;21;Barcelona / Roma;La Liga / Serie A;Wahr;32;5;45;507;632;12;5;418;1;3;0;4;0;2;12;2;2;643;9000000;1042;2.6;0;24;4;8;26;186;521;3893;44;5;52;18;20;10;3590;2085;1187;1.4;2.6;1;2
Imran Louza;FRA;20;Nantes;Ligue 1;Falsch;89;2;52;1157;1195;29;17;901;0;3;0;4;0;1;4;2;13;1289;7200000;2009;1.8;0;30;15;4;38;596;964;1461;62;1;147;58;71;45;5264;2840;3850;4.1;1.8;0;0
Kenny McLean;SCO;27;Norwich City;Premier League;Falsch;141;1;49;1689;1623;47;69;1324;0;1;0;2;0;2;2;1;24;1950;3500000;2968;1.5;0;36;6;2;46;590;1403;1616;59;2;160;48;72;31;7143;3554;7805;2.2;1.5;0;0
Ander Barrenetxea;ESP;17;Real Sociedad;La Liga;Falsch;13;0;45;191;272;5;5;139;0;0;0;2;0;0;0;0;0;271;9000000;442;0.8;0;23;0;0;17;128;213;204;19;0;39;11;11;6;1884;1133;593;0.5;0.8;0;0
Daniel James;WAL;21;Manchester Utd;Premier League;Falsch;60;6;63;803;1097;37;10;586;0;0;0;4;0;11;8;3;4;1074;22500000;2287;3.6;0;30;0;8;44;569;827;1178;64;5;143;25;29;15;7222;5054;2145;4;3.6;0;0
Simone Colombi;ITA;28;Parma;Serie A;Falsch;0;0;0;98;32;0;0;82;0;0;0;0;0;0;0;0;0;66;650000;360;0;0;0;0;0;0;0;31;542;0;0;0;0;0;0;101;53;1148;0;0;0;0
Sacha Boey;FRA;18;Rennes;Ligue 1;Falsch;2;0;1;81;69;2;7;65;0;0;0;0;1;1;1;0;3;92;1300000;172;0.1;0;1;0;0;2;40;61;318;3;0;9;7;10;5;305;171;282;0.1;0.1;0;0
Dennis Srbeny;GER;25;Norwich City / Paderborn 07;Premier League / Bundesliga;Wahr;19;1;25;298;511;14;9;190;0;0;2;3;0;4;3;6;2;434;800000;1166;2.6;0;17;0;1;17;325;328;4773;25;1;90;19;21;14;1448;724;707;0.6;2.6;0;0
Thomas Delaney;DEN;27;Dortmund;Bundesliga;Falsch;30;0;7;586;504;16;38;506;0;0;0;0;0;0;2;0;23;696;17500000;830;0.5;0;4;0;2;8;155;477;645;9;1;50;25;48;16;1612;707;1767;0;0.5;0;0
Thomas Meunier;BEL;27;Paris S-G;Ligue 1;Falsch;55;1;19;925;736;30;25;772;0;0;0;0;0;0;3;0;11;918;24000000;1242;0.4;0;11;0;3;25;186;671;1651;25;0;58;28;39;16;3746;2154;3483;2.1;0.4;0;0
Matthew Lowton;ENG;30;Burnley;Premier League;Falsch;64;1;18;726;471;42;79;497;0;1;0;0;0;1;1;0;16;769;4000000;1530;0;0;11;0;1;16;202;436;1466;18;0;60;44;60;24;2042;1200;4195;1;0;0;0
Florian Aye;FRA;22;Brescia;Serie A;Falsch;16;0;33;308;623;34;19;219;0;0;0;4;1;3;1;0;2;493;1600000;1380;3.1;0;23;1;0;16;493;339;148;30;6;100;20;22;13;1882;852;556;0.5;3.1;0;0
Baba Rahman;GHA;25;Mallorca;La Liga;Falsch;3;0;1;60;32;4;3;42;0;0;0;0;0;0;0;0;2;56;;108;0.1;0;0;0;0;0;10;30;2054;0;0;4;2;4;2;283;189;302;0;0.1;0;0
Ambroise Oyongo;CMR;28;Montpellier;Ligue 1;Falsch;73;0;50;897;714;38;47;672;0;1;0;2;0;1;2;0;7;899;2800000;1821;0.3;0;26;2;2;20;280;611;1868;27;1;71;20;27;8;3687;1946;5237;1;0.3;0;0
Wilfried Kanga;FRA;21;Angers;Ligue 1;Falsch;2;0;1;17;46;0;0;12;0;0;0;0;0;0;0;0;0;27;900000;68;0.2;0;1;0;0;2;19;23;1244;2;0;2;0;0;0;93;54;52;0.1;0.2;0;0
Amine Harit;MAR;22;Schalke 04;Bundesliga;Falsch;114;4;90;909;1205;17;6;754;0;0;2;3;1;9;10;6;13;1184;24000000;2102;2.3;0;62;6;7;66;371;952;1059;86;2;110;16;29;11;7454;4354;3372;3.9;3.1;0;0
Yvon Mvogo;SUI;25;RB Leipzig;Bundesliga;Falsch;0;0;1;79;49;0;0;68;0;0;0;0;0;0;0;0;0;68;2400000;180;0;0;1;0;0;0;0;49;1748;0;0;0;0;0;0;196;73;883;0;0;0;0
Paulo Dybala;ARG;25;Juventus;Serie A;Falsch;117;6;110;1528;1740;26;2;1275;2;3;4;14;4;12;25;11;12;1737;72000000;2155;8;1;69;18;10;96;401;1522;754;151;7;111;24;36;18;8010;4160;5076;6.6;8.8;2;2
Sergio Aguero;ARG;31;Manchester City;Premier League;Falsch;32;3;45;367;780;15;3;284;0;0;1;9;1;5;8;16;2;551;52000000;1452;11.8;0;28;0;4;28;222;450;27;51;9;56;7;9;5;2536;1404;786;2.4;14;0;2
Chris Wood;NZL;27;Burnley;Premier League;Falsch;15;1;20;483;1314;18;17;312;1;1;0;5;0;8;4;14;5;749;14500000;2437;12.2;0;10;0;3;32;407;580;2678;50;4;92;10;15;6;1448;690;486;0.9;13;0;0
Saul Niguez;ESP;24;Atlético Madrid;La Liga;Falsch;163;0;37;1732;1549;102;92;1376;0;2;0;2;0;2;2;6;22;2077;72000000;3072;2.8;0;25;1;1;40;602;1365;1794;52;5;192;98;120;65;6343;3157;8563;1.5;4.3;1;0
Bruno Alves;POR;37;Parma;Serie A;Falsch;76;0;3;1312;1006;40;189;1096;0;1;0;0;0;0;0;0;15;1510;800000;2671;1;0;2;1;0;11;172;981;71;15;2;49;23;38;11;5611;3055;10181;0.5;1;0;0
Pedro Neto;POR;19;Wolves;Premier League;Falsch;22;3;58;397;558;5;6;303;1;2;1;6;1;4;8;3;5;511;11500000;939;2;0;38;3;4;20;239;385;1777;35;0;66;11;16;5;3857;2358;976;2.3;2;1;0
Lukas Nmecha;GER;20;Wolfsburg;Bundesliga;Falsch;0;0;9;37;81;0;0;27;0;0;0;1;0;2;0;0;1;55;3600000;131;0.5;0;6;0;0;3;31;41;1801;6;0;8;0;1;0;362;213;71;0.1;0.5;0;0
Petar Skuletic;SRB;29;Montpellier;Ligue 1;Falsch;3;0;1;26;59;1;1;17;0;0;0;0;0;1;0;0;0;45;650000;106;0.2;0;0;0;0;1;20;30;2347;2;0;4;3;3;0;132;62;28;0.1;1;0;0
Wladimiro Falcone;ITA;24;Sampdoria;Serie A;Falsch;0;0;0;61;21;0;0;39;0;0;0;0;0;0;0;0;0;43;150000;180;0;0;0;0;0;0;1;21;811;0;0;0;0;0;0;104;33;567;0;0;0;0
Ruben Perez;ESP;30;Leganés;La Liga;Falsch;98;1;18;1142;791;46;45;895;0;0;0;0;0;0;1;1;28;1338;6000000;2194;0.3;0;11;4;1;17;479;748;1952;22;1;156;60;88;42;3492;1423;5556;0.5;1.1;0;0
Jhon Cordoba;COL;26;Köln;Bundesliga;Falsch;14;2;48;408;1059;18;19;320;0;1;3;7;0;12;11;13;7;693;9500000;1998;9.6;0;27;0;7;35;445;521;556;60;5;112;14;21;11;2863;1109;504;1.6;9.6;0;1
Paul Pogba;FRA;26;Manchester Utd;Premier League;Falsch;109;3;35;1026;952;20;13;880;0;1;1;4;1;4;7;1;4;1151;80000000;1204;1.2;0;25;0;5;49;165;908;1999;58;0;58;25;29;16;4009;2093;4790;2.7;2;0;0
Willi Orban;HUN;26;RB Leipzig;Bundesliga;Falsch;44;0;4;570;464;17;77;509;0;2;0;0;0;0;0;1;9;687;16000000;856;0.6;0;4;0;0;10;98;442;1847;13;1;40;22;31;16;2232;1289;4152;0.1;0.6;0;0
Ben Foster;ENG;36;Watford;Premier League;Falsch;0;0;3;1201;397;1;1;533;0;0;0;0;0;0;1;0;0;845;1200000;3420;0.1;0;3;3;1;2;9;396;874;5;0;0;0;0;0;3608;2216;20202;0;0.1;0;0
James Milner;ENG;33;Liverpool;Premier League;Falsch;64;2;13;773;673;15;25;664;0;0;0;0;0;2;4;2;7;810;6500000;937;0.6;0;10;1;4;19;169;635;1666;23;1;41;17;24;10;2506;1191;3314;0.7;2.1;0;0
Charles Aranguiz;CHI;30;Leverkusen;Bundesliga;Falsch;172;3;22;1627;1451;38;34;1397;0;1;0;0;0;2;5;1;23;1836;12000000;2118;1.4;1;14;1;4;38;531;1350;113;43;0;197;55;78;31;5362;2410;7830;1.8;1.4;0;0
Vincent Pajot;FRA;28;Angers / Metz;Ligue 1;Falsch;12;4;8;292;258;10;16;233;0;1;0;0;0;0;4;0;14;348;1600000;632;0.4;0;4;5;2;11;165;212;3755;18;1;35;21;35;11;1208;579;806;0.2;0.4;1;1
Julian Brandt;GER;23;Dortmund;Bundesliga;Falsch;151;7;90;1677;1855;43;11;1395;1;1;2;6;0;2;19;3;12;1949;40000000;2203;4;0;67;5;15;60;501;1621;358;77;3;157;50;62;35;8436;3705;5222;5.6;4;0;1
Pipa;ESP;21;Espanyol;La Liga;Falsch;9;0;9;218;152;13;18;153;0;0;0;0;0;1;0;0;3;235;450000;473;0.4;0;5;2;0;7;80;132;1987;10;0;26;13;16;6;1187;743;899;0.2;0.4;0;0
Danilo Larangeira;BRA;35;Bologna;Serie A;Falsch;82;0;7;1246;888;81;179;985;0;0;0;0;0;0;1;2;13;1482;;2638;0.7;0;7;0;1;17;346;867;1365;17;0;101;46;59;21;5828;3805;8824;0.2;0.7;0;0
Bruno Fernandes;POR;24;Manchester Utd;Premier League;Falsch;80;7;21;853;849;14;12;608;0;1;0;1;3;3;12;8;7;894;48000000;1186;2.8;0;15;12;6;39;260;737;836;58;2;65;19;26;14;3372;2012;3233;2.5;5.8;3;0
Lucas Moura;BRA;26;Tottenham;Premier League;Falsch;77;4;114;799;1201;40;21;581;1;4;3;12;0;10;9;4;14;1177;32000000;2242;5.9;0;75;0;5;59;532;830;1718;88;3;144;53;67;33;6421;3828;2505;2.4;5.9;0;0
Antonio Barreca;ITA;24;Genoa;Serie A;Falsch;29;1;20;400;353;23;21;266;0;0;0;0;0;0;1;0;3;423;3200000;1095;0.2;0;9;3;1;10;110;307;202;14;1;26;9;12;3;1965;1159;2106;0.4;0.2;0;0
Lorenzo Pirola;ITA;17;Inter;Serie A;Falsch;0;0;0;9;8;0;0;9;0;0;0;0;0;0;0;0;0;9;900000;12;0;0;0;0;0;0;3;8;1989;0;0;1;0;0;0;33;13;13;0;0;0;0
Marc Albrighton;ENG;29;Leicester City;Premier League;Falsch;50;3;29;507;494;18;7;344;0;0;0;1;0;0;5;0;9;587;8000000;867;0.6;0;13;2;5;22;191;428;48;26;1;65;23;32;11;2560;1179;2444;2;0.6;0;0
Mats Hummels;GER;30;Dortmund;Bundesliga;Falsch;118;3;10;2234;1818;56;177;1974;0;0;0;0;0;0;5;1;35;2530;24000000;2581;1.7;0;9;1;5;19;289;1788;1124;22;2;125;68;103;47;10482;6360;14040;1.9;1.7;0;0
Salva Sevilla;ESP;35;Mallorca;La Liga;Falsch;154;3;21;1745;1274;25;23;1446;0;0;0;1;0;4;5;5;13;1598;200000;2568;1.5;0;11;37;3;49;346;1204;2298;95;4;92;31;44;20;6181;3496;8606;3.4;3.8;1;1
