Player;Nation;Age;Squad;Comp;played_two_leagues;#Prog_Pass;Ast;Att_Drib;Att_Pass;Att_Recep;Blocks;Clr;Cmp_Pass;Def_GCA;Def_SCA;Drib_GCA;Drib_SCA;Fld_GCA;Fld_SCA;GCA;Gls;Int;Live_Touches;Marktvalue;Min;npxG;OG_GCA;Oppon_Drib;PassDead_SCA;PassLive_GCA;PassLive_SCA;Press;Recep;Rk;SCA;Sh_SCA;Succ_Press;Tkl;Tkl+Int;TklW;TotDist_Carried;TotPrgDist_Carried;TotPrgDist_Pass;xA;xG;PassDead_GCA;Sh_GCA
Salvatore Sirigu;ITA;32;Torino;Serie A;Falsch;0;0;1;1162;467;0;1;820;0;0;0;0;0;0;0;0;0;802;6500000;3240;0;0;1;3;0;0;2;463;2333;3;0;0;0;0;0;2345;1272;18001;0.1;0;0;0
Marco Parolo;ITA;34;Lazio;Serie A;Falsch;69;0;9;770;627;52;54;666;0;2;0;0;0;1;1;1;14;978;1600000;1700;1.1;0;6;1;0;16;396;566;1898;21;1;105;60;74;33;2160;994;3289;0.5;1.1;0;1
Rachid Ghezzal;ALG;27;Fiorentina;Serie A;Falsch;39;0;32;495;517;11;9;406;0;0;0;2;0;3;0;1;8;587;5500000;828;0.6;0;16;2;0;28;207;458;944;35;0;53;24;32;17;2784;1360;1867;1.6;0.6;0;0
Sergio Postigo;ESP;30;Levante;La Liga;Falsch;70;1;9;1017;757;29;179;842;0;0;0;1;0;0;2;1;26;1239;1600000;2374;0.7;0;5;0;2;10;213;740;2012;11;0;67;32;58;21;4380;2752;7241;0.6;0.7;0;0
Claudio Bravo;CHI;36;Manchester City;Premier League;Falsch;0;0;1;132;77;0;0;101;0;0;0;0;0;0;0;0;0;101;1200000;347;0;0;1;0;0;0;0;76;361;0;0;0;0;0;0;283;146;1554;0;0;0;0
Casimir Ninga;CHA;26;Angers;Ligue 1;Falsch;20;1;38;207;365;7;1;160;0;0;0;1;1;2;2;3;4;329;2400000;683;2.9;0;18;0;1;23;152;247;1795;28;2;27;7;11;5;2501;1666;552;1.2;2.9;0;0
Clement Grenier;FRA;28;Rennes;Ligue 1;Falsch;39;0;10;450;388;9;18;334;0;0;1;2;0;2;2;1;6;482;5500000;839;0.8;0;7;3;0;19;176;346;1007;26;0;42;17;23;10;1892;1040;1840;0.6;0.8;1;0
Opoku Ampomah;GHA;23;Düsseldorf;Bundesliga;Falsch;12;0;41;104;234;4;5;63;0;0;0;4;0;1;0;0;3;200;2000000;500;0.9;0;21;0;0;11;90;142;82;17;1;21;10;13;6;1284;866;337;0.3;0.9;0;0
Federico Bonini;ITA;17;Bologna;Serie A;Falsch;0;0;0;5;4;0;0;5;0;0;0;0;0;0;0;0;0;5;250000;7;0;0;0;0;0;0;1;4;328;0;0;0;0;0;0;24;18;37;0;0;0;0
Oliver Torres;ESP;24;Sevilla;La Liga;Falsch;89;3;31;994;1038;26;9;810;1;2;0;2;0;0;7;3;8;1146;13500000;1596;1.6;0;22;1;5;35;426;900;2510;41;1;117;50;58;31;4587;2343;4067;2.1;1.6;1;0
Hugo Magnetti;FRA;21;Brest;Ligue 1;Falsch;14;0;4;161;139;8;8;130;0;0;0;1;0;1;0;0;7;210;525000;236;0.2;0;3;0;0;9;81;135;1499;12;1;33;15;22;11;839;492;729;0.2;0.2;0;0
Daley Sinkgraven;NED;24;Leverkusen;Bundesliga;Falsch;39;1;17;738;588;15;24;626;0;0;0;1;0;0;1;0;7;743;4800000;909;0;0;10;1;1;14;135;564;2331;16;0;51;24;31;16;2894;1414;3680;0.7;0;0;0
Haris Belkebla;ALG;25;Brest;Ligue 1;Falsch;48;0;30;845;775;39;30;731;1;2;0;0;0;2;3;0;35;1060;1200000;1816;0.6;0;23;0;2;18;440;709;236;22;0;124;57;92;42;4415;1996;3126;0.5;0.6;0;0
