,user_account,text,created_at
35,MagnusCarlbring,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:48:26
36,NicolasBakhtiar,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:41:36
37,Scapeler,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:39:34
38,jmorat,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:38:27
39,WillKnocker,RT @arikring: @Hazloe3 @ProfStrachan @ECOWARRIORSS @ChristineMilne @ristori20 @mzjacobson @charluv2011 @BSuhic @NJdoc @ddelich @elder_jodi…,2021-03-14 07:37:01
40,UweKoesser,"RT @NiAuKo: Guten Morgen Ihr Lieben.

Ist das CO², wovon alle immer reden, wirklich das Problem? Ich kann das nicht glauben. Ich habe immer…",2021-03-14 07:34:54
41,AjeetMauryan,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:32:53
42,courregesbri,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:32:31
43,MikeWolfgang2,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 07:30:59
44,HondaBerlin,RT @HondaBerlin: Boing Bum Chuck. #honda #volkswagen #mercedesbenz #covid19 #musicforhope #fridaysforfuture https://t.co/VmF0X0zE76,2021-03-14 07:27:15
45,MohammadBahrai7,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:27:07
46,meiklwagner,"RT @meiklwagner: Good morning #Berlin👑, #Twitter &amp; #Planet.

I've Been In Love Before - Cutting Crew, 1986, Siren/Virgin Records. On YouTub…",2021-03-14 07:26:07
47,troldenteddy,"RT @saoi4climate: #FridaysForFuture week 114 in Cork, Ireland. The climate crisis hasn’t gone anywhere and neither have we. #NoMoreEmptyPro…",2021-03-14 07:24:42
48,GreenNewDeal_EU,"RT @NiAuKo: Guten Morgen Ihr Lieben.

Ist das CO², wovon alle immer reden, wirklich das Problem? Ich kann das nicht glauben. Ich habe immer…",2021-03-14 07:20:14
49,GreenNewDeal_EU,"RT @locavoresco: #Plymouth ,  New Brunswick direct sale from farm https://t.co/5PcupQUnwg #localfood #FridaysForFuture",2021-03-14 07:20:12
50,KioMalin,"RT @Studis4FutureDE: Morgen ist #Landtagswahl in #BadenWürttemberg und #RheinlandPfalz. Wir rufen dich DRINGEND dazu auf, morgen ins wählen…",2021-03-14 07:16:38
51,kristinayasuda,"RT @FridaysJapan: 【あと、6日！】
1週間をきりました...世界気候アクション0319！🦾👏🧤

みなさんアクションの準備はできていますか？
日本全国の企画一覧はこちらから
ご覧いいただけます！👇
https://t.co/K3BMbdLPjl https:/…",2021-03-14 07:15:14
52,larsinge_sand,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:14:43
53,NiAuKo,"Guten Morgen Ihr Lieben.

Ist das CO², wovon alle immer reden, wirklich das Problem? Ich kann das nicht glauben. Ic… https://t.co/FTux4Nyj5L",2021-03-14 07:13:20
54,XR_BSE,"RT @schellhagen: Since UN Conferences on Climate started, the annual CO2 emissions have increased by over 60%. 
Why?
How would a society lo…",2021-03-14 07:12:51
55,RaviKum82407366,"RT @ChristineCooman: Today, I'm taking part of the #Protect30x30 challenge. Only ~7% of our oceans are currently protected, and for a healt…",2021-03-14 07:12:12
56,MayaLitner,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:08:51
57,phrintl,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 07:08:09
58,RolfLeder,"RT @Studis4FutureDE: Morgen ist #Landtagswahl in #BadenWürttemberg und #RheinlandPfalz. Wir rufen dich DRINGEND dazu auf, morgen ins wählen…",2021-03-14 07:05:40
59,matsuhisajapan,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:03:37
60,sabengel4,@BKollewe @tommitulpe62 Nicht nur. Auch von #FridaysForFuture,2021-03-14 07:02:19
61,OurFutureBot,RT @Gael_Romero15: Today seems like a very good day to ask you all to listen to the science and step back to think about how the effects of…,2021-03-14 07:01:03
62,OurFutureBot,"RT @locavoresco: #Plymouth ,  New Brunswick direct sale from farm https://t.co/5PcupQUnwg #localfood #FridaysForFuture",2021-03-14 07:00:22
63,locavoresco,"#Plymouth ,  New Brunswick direct sale from farm https://t.co/5PcupQUnwg #localfood #FridaysForFuture",2021-03-14 06:59:03
64,pendicott70,RT @arikring: @Hazloe3 @ProfStrachan @ECOWARRIORSS @ChristineMilne @ristori20 @mzjacobson @charluv2011 @BSuhic @NJdoc @ddelich @elder_jodi…,2021-03-14 06:56:48
65,thinkthisthru,RT @Gael_Romero15: Today seems like a very good day to ask you all to listen to the science and step back to think about how the effects of…,2021-03-14 06:54:14
66,NhcVkn,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 06:52:30
67,ranvirs41625447,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 06:48:51
68,meiklwagner,"RT @meiklwagner: Higher Love - Steve Winwood, 1986, Island Records. On YouTube: https://t.co/g4zXcb1dY5 #ForaFutureDancefloor💃🏻#GlobalCitiz…",2021-03-14 06:46:04
69,bruno_wissing,"RT @FFF_Berlin: In sechs Tagen streiken wir #AlleFür1Komma5!

Unsere Aktionen sind hier zu finden:
🟢https://t.co/h0lkFez8uY

Wichtig: die S…",2021-03-14 06:45:04
70,pratikbavi,"Small changes can have huge impact. 
Think!  Act!!!  Spread love!!!!
Let's make world a better place, let's start f… https://t.co/oKIs4Ij7wY",2021-03-14 06:43:54
71,ZubyTales,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 06:41:26
72,andreasnohsia,"RT @CevikusHB: My 103rd week on #ClimateStrike 🌎 Our 7th global climate strike is happening next Friday, on March 19. We'll be urging world…",2021-03-14 06:39:00
73,VICTORM98983893,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 06:38:55
74,andreasnohsia,"RT @AlaraCivelek7: Regardless of our gender, we ALL have to unite and fight together for climate justice. We are stronger together. 
🌏✊⚧
Ci…",2021-03-14 06:38:00
75,Rhianno29730641,"RT @CevikusHB: My 103rd week on #ClimateStrike 🌎 Our 7th global climate strike is happening next Friday, on March 19. We'll be urging world…",2021-03-14 06:35:49
76,tukurbk,RT @arikring: @Hazloe3 @ProfStrachan @ECOWARRIORSS @ChristineMilne @ristori20 @mzjacobson @charluv2011 @BSuhic @NJdoc @ddelich @elder_jodi…,2021-03-14 06:34:26
77,arikring,RT @arikring: @Hazloe3 @ProfStrachan @ECOWARRIORSS @ChristineMilne @ristori20 @mzjacobson @charluv2011 @BSuhic @NJdoc @ddelich @elder_jodi…,2021-03-14 06:33:12
78,soapydogs1,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 06:32:17
79,tpdanen,"RT @ChristineCooman: Today, I'm taking part of the #Protect30x30 challenge. Only ~7% of our oceans are currently protected, and for a healt…",2021-03-14 06:29:58
80,tpdanen,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 06:29:39
81,meiklwagner,"RT @meiklwagner: Everything Your Heart Desires - Daryl Hall &amp; John Oates, 1988, Arista Records. On YouTube: https://t.co/tenfbSEgUu

#Frida…",2021-03-14 06:26:02
82,MarieDMeier,"@sixtus Sind das die gleichen Leute, die die #FridaysForFuture Kids Hüpfdolen genannt haben... und sie sollen mal lieber was lernen?",2021-03-14 06:23:27
83,brade1991,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 06:20:31
84,MsLizShowBiz,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 06:14:35
85,meiklwagner,"RT @meiklwagner: Easy - Commodores (@ Faith No More version), 1977, Motown Records. On YouTube: https://t.co/ZsX4A6fzDG

#SystemChange #Cor…",2021-03-14 06:06:02
86,sorosokebot,RT @meiklwagner: https://t.co/ts9P1QteVx  #Berlin👑 #GlobalCitizen #Brexit #Covid19de #FridaysForFuture #SunriseMovement #Weihnachten #MeToo…,2021-03-14 06:05:23
87,meiklwagner,RT @meiklwagner: https://t.co/ts9P1QteVx  #Berlin👑 #GlobalCitizen #Brexit #Covid19de #FridaysForFuture #SunriseMovement #Weihnachten #MeToo…,2021-03-14 06:05:09
88,OurFutureBot,"RT @bcforestmarch: Communities across BC understand that old-growth forests are #WorthMoreStanding, so we’re taking a stand, too. 

On Marc…",2021-03-14 06:01:44
89,OurFutureBot,RT @meiklwagner: https://t.co/ts9P1QteVx  #Berlin👑 #GlobalCitizen #Brexit #Covid19de #FridaysForFuture #SunriseMovement #Weihnachten #MeToo…,2021-03-14 06:01:24
90,Klimateriet,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 06:00:46
91,BernddasBrotDA,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:59:31
92,bcforestmarch,"Communities across BC understand that old-growth forests are #WorthMoreStanding, so we’re taking a stand, too. 

On… https://t.co/P1mNBIw6MZ",2021-03-14 05:50:24
93,MariekeDijkstr3,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 05:49:30
94,ManibalanR,"RT @CevikusHB: My 103rd week on #ClimateStrike 🌎 Our 7th global climate strike is happening next Friday, on March 19. We'll be urging world…",2021-03-14 05:46:48
95,meiklwagner,"RT @meiklwagner: Turn My Back On You - Sade, 1988, Epic Records. On YouTube: https://t.co/FMhL34La2I

#Berlin👑 #GlobalCitizen #artistsontwi…",2021-03-14 05:46:02
96,meiklwagner,"RT @meiklwagner: The Sweetest Taboo - Sade LIVE, San Diego. On YouTube: https://t.co/3nnBucPqOC #ForaFutureDancefloor💃🏻#Music #Berlin👑 #Glo…",2021-03-14 05:37:01
97,EltonCa20982408,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 05:35:48
