Player,Nation,Age,Squad,Comp,played_two_leagues,#Prog_Pass,Ast,Att_Drib,Att_Pass,Att_Recep,Blocks,Clr,Cmp_Pass,Def_GCA,Def_SCA,Drib_GCA,Drib_SCA,F1,Fld_GCA,Fld_SCA,GCA,Gls,Int,Live_Touches,Marktvalue,Min,npxG,OG_GCA,Oppon_Drib,PassDead,PassDead_SCA,PassLive_GCA,PassLive_SCA,Press,Recep,Rk,SCA,Sh_SCA,Sh_SCA.1,Succ_Press,Tkl,Tkl+Int,TklW,TotDist_Carried,TotPrgDist_Carried,TotPrgDist_Pass,xA,xG
Louis Beyer,GER,19,M'Gladbach,de Bundesliga,False,0,0,1,41,32,4,7,33,0,0,0,0,269,0,1,0,0,1,53,,110,0,0,1,0,0,0,0,18,30,291,1,0,0,6,6,7,4,116,56,155,0,0
Vitorino Antunes,POR,32,Getafe,es La Liga,False,0,0,0,1,2,1,0,0,0,0,0,0,96,0,0,0,0,0,3,1600000,6,0,0,0,0,0,0,0,2,2,105,0,0,0,1,0,0,0,11,11,0,0,0
Can Bozdogan,GER,18,Schalke 04,de Bundesliga,False,6,0,15,73,77,1,0,54,0,0,0,0,320,0,0,0,0,2,102,0,235,0.1,0,11,0,0,0,2,77,64,350,2,0,0,27,9,11,7,745,461,272,0,0.1
Jordan Pickford,ENG,25,Everton,eng Premier League,False,1,0,1,1373,636,0,1,895,0,0,0,0,1862,0,0,0,0,0,1042,28000000,3420,0,0,0,0,3,0,3,8,634,1978,6,0,0,3,0,0,0,3895,2090,21723,0.1,0
Adrien Silva,POR,30,Monaco,fr Ligue 1,False,65,2,31,835,705,26,17,719,0,1,0,3,2168,0,0,3,0,12,931,8000000,1221,0.5,0,18,2,6,1,22,349,668,2313,32,0,0,116,38,50,28,2839,1522,3887,1.4,0.5
Samu Chukwueze,NGA,20,Villarreal,es La Liga,False,79,2,99,750,1106,29,8,553,0,3,3,13,466,3,11,14,3,9,1053,27000000,2020,3.6,0,62,0,0,7,69,347,823,514,99,1,3,97,18,27,15,7219,4990,2682,3.3,3.6
Martin Odegaard,NOR,20,Real Sociedad,es La Liga,False,203,6,94,1617,1582,20,14,1308,0,0,1,7,2552,0,2,15,4,15,1730,45000000,2527,3.2,0,65,2,29,11,75,517,1401,2731,116,1,3,125,28,43,18,9565,5162,6909,5.2,3.2
Alberto Cerri,ITA,23,SPAL / Cagliari,it Serie A,False,16,0,15,247,407,1,6,164,0,0,0,0,896,0,1,0,2,1,309,3500000,664,1.8,0,12,0,0,0,13,81,268,969,15,0,1,18,7,8,4,1074,448,353,0.9,1.8
Rune Jarstein,NOR,34,Hertha BSC,de Bundesliga,False,0,0,1,1007,433,0,1,658,0,0,0,0,1104,0,0,0,0,0,770,800000,2547,0,0,1,0,4,0,3,2,432,1187,7,0,0,0,0,0,0,3207,1800,17225,0.2,0
Weston McKennie,USA,20,Schalke 04,de Bundesliga,False,80,0,44,1056,989,47,70,848,0,2,1,6,1518,0,1,2,3,32,1306,20000000,2074,2.5,0,28,0,0,1,33,492,842,1615,50,0,8,148,53,85,35,4929,2854,4003,2.1,2.5
Yaya Sanogo,FRA,26,Toulouse,fr Ligue 1,False,7,1,7,177,470,9,12,124,0,0,0,1,2099,0,3,2,3,5,290,2000000,910,2.7,1,4,0,0,1,11,209,211,2242,18,0,2,56,5,10,2,627,325,219,0.3,3.5
Daniel Carvajal,ESP,27,Real Madrid,es La Liga,False,157,5,57,2432,1976,71,36,2058,0,0,0,4,415,1,2,6,1,39,2428,40000000,2738,2.7,0,32,1,6,4,61,442,1865,460,74,0,1,132,70,109,53,8696,5122,12111,4.3,2.7
Vitorino Hilton,BRA,41,Montpellier,fr Ligue 1,False,90,2,7,1321,984,37,211,1093,0,0,0,0,1018,1,1,4,0,33,1617,,2510,1,0,5,0,2,3,21,170,969,1098,25,0,1,60,36,69,24,6165,3609,10665,1,1
Manu Morlanes,ESP,20,Villarreal,es La Liga,False,19,1,3,192,165,1,2,177,0,0,0,0,1608,0,0,1,0,2,199,1800000,253,0,0,3,0,0,1,8,66,158,1708,8,0,0,17,6,8,5,574,323,991,0.5,0
Christian Dalle Mura,ITA,17,Fiorentina,it Serie A,False,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Correa,ESP,26,Eibar,es La Liga,False,42,0,7,513,310,21,49,381,0,0,0,1,520,0,2,0,0,5,493,475000,929,0.2,0,5,0,1,0,11,92,271,565,16,0,1,25,16,21,9,1670,778,2947,0.2,0.2
Aymen Barkok,MAR,21,Düsseldorf,de Bundesliga,False,4,0,1,29,34,7,2,17,0,0,0,0,186,0,0,0,0,0,44,1300000,79,0,0,0,0,0,0,0,20,25,198,0,0,0,4,1,1,0,78,43,113,0,0
Rob Holding,ENG,23,Arsenal,eng Premier League,False,13,0,6,338,302,19,45,292,0,0,0,0,1027,0,0,0,0,3,413,9500000,581,0.1,0,2,0,0,0,2,47,297,1107,2,0,0,14,6,9,3,1585,926,1724,0,0.1
Fabio Pisacane,ITA,33,Cagliari,it Serie A,False,37,0,4,1087,839,58,134,964,0,0,0,0,1874,0,0,1,1,26,1328,1200000,2442,0.7,0,3,0,0,1,10,224,826,1990,10,0,0,79,40,66,25,5338,2350,5398,0.3,0.7
Nemanja Maksimovic,SRB,24,Getafe,es La Liga,False,47,0,14,730,552,47,56,534,0,0,0,0,1418,0,3,3,2,40,925,20000000,2895,3.1,0,10,0,2,3,29,698,396,1512,37,0,3,206,53,93,34,2222,1007,2048,0.9,3.1
Sebastian Cristoforo,URU,25,Fiorentina / Eibar,it Serie A / es La Liga,True,31,0,17,363,356,33,2,273,0,1,0,1,1090,0,2,0,0,9,511,1200000,967,0.2,0,11,0,4,0,11,276,290,1173,20,0,1,88,47,56,28,1220,558,1470,0.7,0.2
Erik Durm,GER,27,Eint Frankfurt,de Bundesliga,False,17,0,7,245,213,15,14,156,0,0,0,1,686,0,0,1,0,3,276,1600000,511,0.7,0,5,0,0,1,6,136,170,750,9,0,2,35,14,17,8,1084,467,1145,0.1,0.7
Rafael,BRA,37,Cagliari,it Serie A,False,0,0,0,153,57,0,2,107,0,0,0,0,1929,0,0,0,0,0,94,5500000,454,0,0,0,0,0,0,0,0,57,2049,0,0,0,0,0,0,0,383,267,2177,0,0
Gabriel Fernandez,URU,25,Celta Vigo,es La Liga,False,7,1,13,123,263,6,2,84,0,0,0,1,778,0,0,1,1,2,187,2400000,561,1,0,8,0,0,1,3,76,150,845,4,0,0,20,3,5,2,1050,413,266,0.3,1
Dale Stephens,ENG,30,Brighton,eng Premier League,False,138,1,11,1641,1388,43,46,1421,0,1,0,0,2244,0,0,3,0,39,1884,4800000,2530,0.5,0,10,0,0,3,38,465,1319,2397,41,0,2,150,76,115,40,6018,2262,7023,1.1,0.5
Yannis Salibur,FRA,28,Mallorca,es La Liga,False,3,0,3,42,52,1,2,36,0,0,1,1,2071,0,0,2,0,1,52,1200000,82,0,0,2,0,0,1,3,12,44,2212,4,0,0,4,0,1,0,323,202,155,0.1,0
Christian Gunter,GER,26,Freiburg,de Bundesliga,False,114,8,46,1644,1262,50,47,1159,0,1,1,4,962,1,4,15,2,10,1459,9500000,3029,1,1,20,5,45,6,62,318,1092,1040,120,1,3,89,36,46,23,7624,5274,10402,7.2,1
Gerard Deulofeu,ESP,25,Watford,eng Premier League,False,59,5,108,823,1107,16,6,603,3,5,1,14,611,1,6,10,4,26,1036,20000000,2098,4.5,0,69,0,10,5,51,511,769,666,93,0,7,133,29,55,21,8040,5493,2557,4.6,5.2
Alberto Moreno,ESP,27,Villarreal,es La Liga,False,54,0,23,981,761,34,49,841,0,0,0,0,1603,1,1,2,0,11,971,6000000,1471,0.7,0,12,0,2,1,16,232,698,1703,19,0,0,74,33,44,21,3665,2373,5033,0.6,0.7
Fernando Calero,ESP,23,Espanyol,es La Liga,False,25,0,1,577,446,18,81,507,0,0,0,0,381,0,1,0,0,4,680,4000000,1043,0,0,1,0,1,0,1,102,441,421,3,0,0,29,14,18,8,2114,1052,3222,0,0
Mohamed Salah,EGY,27,Liverpool,eng Premier League,False,106,10,99,1004,1815,13,2,746,0,2,4,23,2067,1,5,16,19,5,1349,120000000,2876,17.2,0,70,2,4,8,76,552,1109,2208,120,1,10,180,21,26,13,6404,3898,2982,7.3,19.4
Antonito,ESP,31,Valladolid,es La Liga,False,31,0,16,452,355,24,25,321,0,2,0,0,94,0,0,0,0,19,478,800000,1029,0.1,0,8,0,1,0,16,150,305,103,19,0,0,49,25,44,16,2088,1286,2457,1.6,0.1
Leonardo Bittencourt,GER,25,Hoffenheim / Werder Bremen,de Bundesliga,False,75,2,56,911,1064,32,8,673,0,7,0,2,555,0,6,4,4,18,1123,4800000,1892,3.4,0,31,1,7,2,48,604,840,605,76,1,6,139,58,76,34,5763,3059,3457,3.2,3.4
Juan Foyth,ARG,21,Tottenham,eng Premier League,False,4,0,3,60,46,2,4,53,0,0,0,0,808,0,0,0,0,3,69,13500000,68,0,0,1,0,0,0,1,14,42,879,1,0,0,5,7,10,4,214,122,341,0,0
Alexis Blin,FRA,22,Amiens,fr Ligue 1,False,87,1,16,1040,810,36,65,874,0,1,0,0,285,0,2,1,0,18,1209,4000000,1841,0.2,0,14,0,2,1,12,571,765,309,17,0,0,149,56,74,43,3287,1451,4061,0.7,0.2
Luca Ranieri,ITA,20,Fiorentina,it Serie A,False,17,0,5,159,127,3,15,137,0,0,0,2,1945,0,0,0,0,1,172,1800000,232,0.1,0,4,0,0,0,6,21,122,2067,8,0,0,10,4,5,2,785,535,1155,0.7,0.1
Jerome Gondorf,GER,31,Freiburg,de Bundesliga,False,6,0,5,39,41,2,3,30,0,1,0,1,911,0,1,0,0,0,63,600000,120,0.1,0,4,0,0,0,4,49,34,983,7,0,0,12,10,10,5,166,75,134,0,0.1
Reece James,ENG,19,Chelsea,eng Premier League,False,82,2,38,1268,1044,46,39,1055,0,0,0,1,1097,0,5,4,0,14,1300,22500000,1515,0.7,0,29,0,8,4,33,271,983,1180,48,0,1,73,42,56,23,4899,2452,5746,3.2,0.7
Boubacar Kamara,FRA,19,Marseille,fr Ligue 1,False,68,2,22,1280,1034,41,95,1130,0,0,0,0,1160,0,2,5,1,15,1499,27000000,2139,0.5,0,14,0,0,5,16,355,1004,1240,21,0,3,127,76,91,53,5443,2899,7400,0.4,0.5
Tom Heaton,ENG,33,Aston Villa,eng Premier League,False,0,0,0,614,205,0,1,350,0,0,0,0,990,0,0,0,0,0,399,4800000,1794,0,0,0,0,0,0,0,3,202,1068,0,0,0,0,0,0,0,1225,699,9473,0,0
Marek Suchy,CZE,31,Augsburg,de Bundesliga,False,5,0,1,192,147,3,22,164,0,0,0,0,2266,0,0,0,0,4,229,1400000,397,0.1,0,1,0,0,0,0,18,146,2419,0,0,0,8,8,12,4,754,386,1352,0,0.1
Lewis Dunk,ENG,27,Brighton,eng Premier League,False,82,3,7,2192,1737,71,162,1913,0,1,0,0,685,0,0,3,3,36,2448,16000000,3230,4,0,3,0,2,3,23,248,1712,749,26,0,0,107,43,79,28,8768,4728,13471,1.1,4
Sandro Ramirez,ESP,24,Valladolid,es La Liga,False,20,1,44,376,640,12,3,273,0,1,0,5,1938,0,5,2,3,5,517,3200000,1306,3.7,0,22,0,2,2,20,249,400,2060,34,0,1,49,9,14,9,2553,1206,880,1.7,4.5
Christopher Lenz,GER,24,Union Berlin,de Bundesliga,False,85,3,39,1143,750,79,85,816,0,2,0,3,1315,0,0,4,0,39,1161,2200000,2267,0.6,0,26,0,5,4,32,503,644,1403,44,0,2,158,61,100,35,4234,2262,6869,2.6,0.6
Wayne Hennessey,WAL,32,Crystal Palace,eng Premier League,False,0,0,0,103,36,0,0,44,0,0,0,0,997,0,0,0,0,0,64,2400000,270,0,0,0,0,1,0,0,0,36,1075,1,0,0,0,0,0,0,167,105,2024,0,0
Cristian DellOrco,ITA,25,Lecce,it Serie A,False,38,1,11,556,439,20,37,444,0,0,0,0,594,0,0,1,0,11,611,650000,1007,0,0,5,0,1,1,16,118,421,647,17,0,0,37,30,41,16,2362,1480,3445,0.5,0
Karlo Letica,CRO,22,SPAL,it Serie A,False,0,0,1,319,113,0,0,202,0,0,0,0,1322,0,0,0,0,0,212,1000000,900,0,0,1,0,0,0,0,1,112,1410,0,0,0,0,0,0,0,575,348,4473,0,0
Enock Kwateng,FRA,22,Bordeaux,fr Ligue 1,False,46,1,14,620,483,30,36,476,0,1,0,0,1258,0,0,2,0,16,659,3200000,983,0.2,0,10,0,1,1,13,147,437,1341,16,1,1,42,37,53,21,1964,1171,3287,0.4,0.2
Cristiano Ronaldo,POR,34,Juventus,it Serie A,False,82,5,87,1289,1929,16,23,1086,0,0,3,17,2022,2,9,19,31,6,1699,60000000,2917,16.9,0,60,0,2,10,88,248,1504,2158,143,4,27,55,16,22,10,9708,6225,3004,5.2,26.7
Ken Sema,SWE,25,Udinese,it Serie A,False,73,1,88,1070,916,46,40,775,0,0,0,6,2144,0,1,2,2,13,1145,4000000,2453,0.5,0,52,0,10,2,53,413,807,2290,72,0,2,108,48,61,27,6050,3600,5414,3.9,0.5
Christopher Antwi Adjei,GHA,25,Paderborn 07,de Bundesliga,False,64,2,80,846,1032,46,13,603,0,1,1,9,97,0,7,5,1,11,1044,1600000,2470,4.6,0,41,1,8,3,53,483,746,106,80,0,2,122,31,42,20,7484,4372,3401,3.1,4.6
Lukas Kubler,GER,26,Freiburg,de Bundesliga,False,9,0,5,96,75,3,7,77,0,0,0,0,1249,0,0,1,0,4,101,2000000,209,0.1,0,5,0,0,1,1,25,69,1330,1,0,0,5,0,4,0,510,290,743,0,0.1
Juan Perez,ESP,23,Osasuna,es La Liga,False,0,0,0,66,23,0,0,36,0,0,0,0,1836,0,0,0,0,0,46,400000,180,0,0,0,0,0,0,0,2,23,1949,0,0,0,0,0,0,0,222,123,1174,0,0
Timo Horn,GER,26,Köln,de Bundesliga,False,0,0,0,1190,598,0,4,867,0,0,0,0,1036,0,0,1,0,0,915,4000000,3060,0,0,0,0,1,1,2,8,598,1116,3,0,0,1,0,0,0,2875,1804,19782,0,0
Fikayo Tomori,ENG,21,Chelsea,eng Premier League,False,37,0,11,1098,959,29,93,981,0,0,0,0,2336,0,0,0,1,15,1261,16000000,1291,0.6,0,9,0,0,0,14,149,944,2501,14,0,0,48,30,45,15,4464,2162,5867,0.2,0.6
Marquinhos,BRA,25,Paris S-G,fr Ligue 1,False,83,1,10,1294,1136,34,44,1207,0,0,0,1,1462,0,0,3,3,11,1429,52000000,1476,1.8,0,10,0,1,2,15,293,1105,1557,18,1,1,108,43,54,25,5233,2616,6825,0.5,1.8
Xherdan Shaqiri,SUI,27,Liverpool,eng Premier League,False,14,0,4,109,119,1,0,90,0,0,0,0,2154,0,0,0,1,0,116,16000000,185,0.6,0,2,0,2,0,2,39,96,2300,4,0,0,12,1,1,0,363,133,529,0.2,0.6
Dereck Kutesa,SUI,21,Reims,fr Ligue 1,False,17,0,26,152,231,10,2,112,0,0,1,1,1256,0,1,2,1,0,226,1400000,528,0.2,0,15,0,0,1,5,84,162,1339,7,0,0,34,8,8,7,1595,974,540,0.3,0.2
Issiaga Sylla,GUI,25,Toulouse,fr Ligue 1,False,106,2,48,1461,1050,87,117,1080,0,3,0,0,2274,0,1,2,0,46,1601,2800000,2520,1,0,29,0,2,2,34,409,934,2431,40,0,0,127,74,120,51,6389,3958,8113,1.5,1
Pierre Lees Melou,FRA,26,Nice,fr Ligue 1,False,122,6,40,1224,1266,52,37,1025,0,0,0,6,1301,0,2,8,5,30,1517,8000000,2252,3.5,0,31,0,1,7,47,606,1098,1389,61,1,5,155,69,99,43,6847,3634,5102,4.3,3.5
Daniel James,WAL,21,Manchester Utd,eng Premier League,False,60,6,63,803,1097,37,10,586,0,0,0,4,1095,0,11,8,3,4,1074,22500000,2287,3.6,0,30,0,0,8,44,569,827,1178,64,0,5,143,25,29,15,7222,5054,2145,4,3.6
Kiko Femenia,ESP,28,Watford,eng Premier League,False,77,0,36,1290,810,35,62,996,0,1,1,1,767,1,1,3,0,28,1230,4800000,2237,0.1,0,25,1,3,0,27,385,753,834,33,0,0,97,62,90,32,4512,2336,6754,1.5,0.1
Lasse Schone,DEN,33,Genoa,it Serie A,False,129,3,63,1634,1363,38,25,1379,0,2,0,2,2133,0,1,5,2,34,1720,2000000,2427,2.2,0,42,1,30,2,31,485,1282,2278,74,2,8,137,46,80,28,7233,3191,6824,3.2,3
Marcus Coco,FRA,23,Nantes,fr Ligue 1,False,0,0,0,3,4,0,0,3,0,0,0,0,488,0,0,0,0,0,3,2400000,14,0,0,0,0,0,0,0,2,1,534,0,0,0,1,1,1,1,11,8,7,0,0
Amath Ndiaye,SEN,23,Getafe,es La Liga,False,1,0,8,17,32,1,1,12,0,0,0,0,68,0,0,0,0,1,34,2400000,66,0,0,4,0,0,0,1,36,20,76,1,0,0,10,2,3,0,212,136,65,0,0
Giacomo Bonaventura,ITA,29,Milan,it Serie A,False,44,5,38,700,826,15,5,589,0,0,1,8,297,3,8,12,3,5,862,9500000,1338,3.7,0,29,0,1,7,52,244,698,323,75,1,6,63,19,24,14,4004,2004,1831,2.5,3.7
Ferran Torres,ESP,19,Valencia,es La Liga,False,71,5,94,751,1026,40,14,541,0,1,3,11,2344,0,2,8,4,12,1003,45000000,2251,3.6,0,62,0,2,5,39,462,778,2509,56,0,1,95,20,32,15,5839,3543,2940,4.3,3.6
Nicholas Opoku,GHA,21,Udinese / Amiens,it Serie A / fr Ligue 1,True,0,0,0,0,0,0,0,0,0,0,0,0,2569,0,0,0,0,12,0,800000,1111,0,0,0,0,0,0,0,0,0,3691,0,0,0,0,0,0,13,0,0,0,0,0
Maxence Caqueret,FRA,19,Lyon,fr Ligue 1,False,46,0,14,390,377,17,5,338,0,0,0,0,405,0,1,1,0,7,467,7200000,568,0.2,0,6,0,0,1,12,237,352,450,14,0,1,67,18,25,11,1438,637,1780,0.3,0.2
Nathaniel Chalobah,ENG,24,Watford,eng Premier League,False,34,1,14,358,297,14,32,263,0,1,0,0,442,0,0,2,0,9,465,4800000,930,0.4,0,6,0,2,2,16,227,246,490,19,0,0,65,32,41,19,1119,518,1237,1.1,0.4
Che Adams,ENG,23,Southampton,eng Premier League,False,19,2,27,265,657,10,10,184,0,1,1,3,10,2,4,5,4,3,433,9500000,1111,4,0,15,0,0,2,15,231,315,11,25,0,2,58,8,11,6,1841,847,631,1.2,4
Kingsley Ehizibue,NED,24,Köln,de Bundesliga,False,74,1,65,1137,878,50,93,850,0,1,1,5,702,0,2,4,1,28,1298,2000000,2329,1,0,39,0,4,3,27,443,800,763,40,0,1,126,93,121,51,5329,3167,6528,1.2,1
Ramon Azeez,NGA,26,Granada,es La Liga,False,19,0,8,394,422,17,15,316,0,2,0,0,140,0,1,1,2,15,506,800000,1361,1.9,0,3,0,1,1,11,330,301,151,17,0,2,82,17,32,14,2078,883,1240,0.3,1.9
Matthias Bader,GER,22,Köln,de Bundesliga,False,0,0,0,7,4,0,0,4,0,0,0,0,147,0,0,0,0,0,4,400000,12,0,0,0,0,0,0,0,1,3,158,0,0,0,1,1,1,1,45,27,15,0,0
Jack Grealish,ENG,23,Aston Villa,eng Premier League,False,176,6,120,1538,1776,55,13,1217,0,2,2,11,929,1,19,15,8,15,1857,30500000,3233,5.7,0,76,1,22,11,130,574,1467,1003,186,0,2,154,36,51,28,15466,9108,6423,7,6.5
Niclas Fullkrug,GER,26,Werder Bremen,de Bundesliga,False,6,1,9,117,235,5,5,79,0,0,0,1,826,0,0,1,4,0,165,3500000,403,2.7,0,5,0,0,1,8,67,137,896,10,0,1,14,2,2,1,523,242,161,0.9,2.7
Lucas Leiva,BRA,32,Lazio,it Serie A,False,111,1,12,1135,872,25,49,1002,0,1,0,0,1306,0,0,2,0,39,1314,6000000,1808,0.6,0,9,0,1,2,33,453,841,1394,37,0,2,134,69,108,41,4163,2099,5548,1.9,0.6
Javairo Dilrosun,NED,21,Hertha BSC,de Bundesliga,False,37,2,66,412,522,45,5,298,0,1,2,6,636,0,2,4,4,19,594,14500000,1309,1.9,0,51,0,3,2,14,205,384,691,26,0,0,48,15,34,6,4302,2661,1575,1.2,1.9
Kevin Zohi,MLI,22,Strasbourg,fr Ligue 1,False,18,1,25,154,243,3,5,109,0,0,1,6,2542,0,0,2,1,1,222,1600000,530,1.6,0,16,0,0,1,7,100,162,2721,13,0,0,25,9,10,7,1377,828,499,0.7,1.6
Andrea Cistana,ITA,22,Brescia,it Serie A,False,32,0,6,808,608,52,121,688,0,0,0,0,477,0,0,1,1,24,1009,6500000,1838,0.4,0,4,0,0,1,8,199,593,523,9,0,1,57,35,59,21,4093,2339,4464,0.6,0.4
Andy Carroll,ENG,30,Newcastle Utd,eng Premier League,False,15,4,8,207,404,7,21,134,0,0,0,0,414,0,1,7,0,3,315,3200000,632,0.9,0,6,0,0,7,19,82,232,459,20,0,0,26,7,10,1,669,218,483,1.6,0.9
Vincenzo Grifo,ITA,26,Hoffenheim / Freiburg,de Bundesliga,False,61,8,55,777,795,23,15,564,0,1,1,5,1901,0,2,11,4,12,889,5500000,1633,2.3,1,30,4,21,5,37,234,655,2019,75,0,8,62,18,30,9,5134,2822,3693,4.6,3
Javier Aviles,ESP,21,Leganés,es La Liga,False,3,1,7,71,92,4,2,48,0,0,1,1,133,0,0,2,1,1,103,0,184,0.5,0,4,0,0,1,5,52,70,145,6,0,0,11,7,8,3,697,421,392,0.9,0.5
Francesco Cassata,ITA,22,Genoa,it Serie A,False,53,0,40,654,676,20,13,511,0,1,0,0,420,0,2,2,2,10,798,2400000,1458,1.3,0,23,0,0,2,27,352,581,465,30,0,0,104,23,33,13,3745,2094,2388,1.4,1.3
Kwasi Okyere Wriedt,GHA,25,Bayern Munich,de Bundesliga,False,0,0,1,4,9,0,0,3,0,0,0,0,1726,0,0,0,0,0,5,800000,14,0,0,1,0,0,0,0,2,5,1828,0,0,0,0,0,0,0,24,2,4,0,0
Gaetan Paquiez,FRA,25,Nîmes,fr Ligue 1,False,62,0,21,768,458,32,63,546,0,0,0,0,1783,0,0,1,0,18,766,800000,1530,0.2,0,14,0,1,1,10,298,407,1892,11,0,0,91,52,70,32,2139,1322,4602,0.3,0.2
David McGoldrick,IRL,31,Sheffield Utd,eng Premier League,False,34,2,47,623,1088,20,24,475,0,4,1,5,1516,0,1,4,2,3,881,1600000,1815,6.8,0,34,0,1,3,26,456,657,1613,39,0,2,117,42,45,26,3074,1269,1290,2.1,6.8
Kang in Lee,KOR,18,Valencia,es La Liga,False,11,0,11,239,266,3,1,188,0,0,0,0,1165,0,0,2,2,0,269,13500000,454,0.7,0,9,0,1,2,12,113,236,1245,13,0,0,28,3,3,2,1648,779,613,0.4,0.7
Pedro Leon,ESP,32,Eibar,es La Liga,False,39,2,38,717,859,30,11,416,0,2,0,4,1317,0,1,5,1,13,819,1400000,1896,3,0,26,2,26,3,31,382,588,1405,67,0,3,102,27,40,15,3048,1397,2784,4.2,3
Tommaso Augello,ITA,24,Sampdoria,it Serie A,False,78,2,30,825,635,19,19,635,0,1,0,2,127,0,0,3,0,8,790,800000,1135,0,0,21,0,2,3,35,97,597,139,40,0,0,17,15,23,13,4174,2624,4894,1.5,0
Fran Merida,ESP,29,Osasuna,es La Liga,False,80,1,35,770,674,20,17,581,0,1,0,0,1548,0,1,2,0,15,874,1200000,1161,0.3,0,26,0,2,2,18,264,622,1644,23,0,1,77,26,41,14,2716,1453,4091,0.3,0.3
Joel Pohjanpalo,FIN,24,Leverkusen,de Bundesliga,False,0,0,0,0,4,0,0,0,0,0,0,0,1884,0,0,0,0,0,0,800000,2,0,0,0,0,0,0,0,2,0,2000,0,0,0,1,0,0,0,0,0,0,0,0
Kurt Zouma,FRA,24,Chelsea,eng Premier League,False,82,0,12,1982,1698,34,181,1772,0,0,0,0,2544,0,1,0,0,26,2263,28000000,2344,0.8,0,9,0,0,0,12,177,1674,2723,14,0,1,55,33,59,17,8059,4312,10428,0.2,0.8
Alex Alegria,ESP,26,Mallorca,es La Liga,False,0,0,2,35,68,1,0,23,0,0,0,0,51,0,1,0,0,1,49,650000,109,0,0,1,0,0,0,0,21,40,55,1,0,0,6,1,2,0,166,80,41,0,0
Oliver Batista Meier,GER,18,Bayern Munich,de Bundesliga,False,0,0,0,4,5,0,0,3,0,0,0,0,203,0,0,0,0,0,6,900000,13,0,0,0,0,0,0,0,3,5,219,0,0,0,0,0,0,0,47,12,0,0,0
Sebastian Vasiliadis,GRE,21,Paderborn 07,de Bundesliga,False,89,1,86,1070,1028,52,67,818,0,2,0,5,2408,0,2,3,1,29,1451,3200000,2808,1.7,0,64,0,0,3,54,756,870,2580,64,0,1,221,88,117,49,6009,3423,3906,1.7,1.7
Jamilu Collins,NGA,24,Paderborn 07,de Bundesliga,False,131,2,79,1768,1246,100,97,1346,0,0,0,3,495,0,2,3,1,40,1864,2400000,2668,1,0,47,0,5,3,37,434,1177,541,49,0,2,144,78,118,41,9170,5713,10893,1.4,1.7
Marc Andre ter Stegen,GER,27,Barcelona,es La Liga,False,1,2,0,1419,909,0,3,1250,0,0,0,0,2303,0,0,2,0,0,1237,72000000,3240,0,0,0,1,1,1,5,5,906,2464,6,0,0,2,1,1,0,4103,2550,19742,0.7,0
Clement Lenglet,FRA,24,Barcelona,es La Liga,False,104,1,9,2147,1858,44,112,1989,0,0,0,0,1312,0,0,3,2,15,2322,48000000,2424,0.9,0,5,0,0,3,14,282,1834,1400,14,0,0,122,50,65,38,9816,6000,13188,0.5,0.9
Mitchell Weiser,GER,25,Leverkusen,de Bundesliga,False,60,0,30,1040,835,34,38,827,0,1,0,0,2476,0,3,1,1,9,1079,8000000,1172,1.1,0,21,0,1,1,11,234,783,2653,16,0,0,81,47,56,30,3489,1983,4331,0.5,1.1
Petar Skuletic,SRB,29,Montpellier,fr Ligue 1,False,3,0,1,26,59,1,1,17,0,0,0,0,2200,0,1,0,0,0,45,650000,106,0.2,0,0,0,0,0,1,20,30,2347,2,0,0,4,3,3,0,132,62,28,0.1,1
Edouard Mendy,SEN,27,Rennes,fr Ligue 1,False,0,0,1,792,372,0,1,585,0,0,0,0,1540,0,0,0,0,0,632,7000000,2160,0,0,1,0,0,0,2,3,371,1636,2,0,0,1,0,0,0,1975,1001,13015,0,0
Daniel Carrico,POR,30,Sevilla,es La Liga,False,18,0,3,542,451,10,44,502,0,0,0,0,412,0,0,0,0,3,598,2000000,847,0.2,0,3,0,0,0,3,47,448,457,3,0,0,14,11,14,9,2177,1094,3037,0,0.2
Asier Illarramendi,ESP,29,Real Sociedad,es La Liga,False,13,0,1,183,150,2,5,168,0,0,0,0,1069,0,0,0,0,2,197,14500000,216,0,0,0,0,0,0,2,13,148,1151,2,0,0,4,3,5,2,1082,673,1061,0.2,0
Valentin Rongier,FRA,24,Marseille / Nantes,fr Ligue 1,False,103,3,37,1443,1339,43,18,1251,1,6,0,2,2588,0,3,4,0,22,1662,16000000,2060,1.7,0,30,0,1,3,49,695,1219,4321,66,0,5,181,80,102,54,6497,3106,4494,1.8,2.5
Alex Oxlade Chamberlain,ENG,25,Liverpool,eng Premier League,False,71,1,54,748,885,27,7,592,0,1,2,3,1761,1,4,4,4,13,952,28000000,1485,2.9,0,36,0,0,1,31,374,731,1866,42,0,3,111,23,36,14,4418,2245,2554,1.2,2.9
Agustin Rogel,URU,21,Toulouse,fr Ligue 1,False,14,0,1,338,285,21,50,295,0,0,0,0,2013,0,0,0,0,1,416,1400000,858,0.3,0,1,0,0,0,2,80,273,2147,2,0,0,22,11,12,7,1475,783,1981,0.1,0.3
