Player,Nation,Age,Squad,Comp,played_two_leagues,#Prog_Pass,Ast,Att_Drib,Att_Pass,Att_Recep,Blocks,Clr,Cmp_Pass,Def_GCA,Def_SCA,Drib_GCA,Drib_SCA,F1,Fld_GCA,Fld_SCA,GCA,Gls,Int,Live_Touches,Marktvalue,Min,npxG,OG_GCA,Oppon_Drib,PassDead,PassDead_SCA,PassLive_GCA,PassLive_SCA,Press,Recep,Rk,SCA,Sh_SCA,Sh_SCA.1,Succ_Press,Tkl,Tkl+Int,TklW,TotDist_Carried,TotPrgDist_Carried,TotPrgDist_Pass,xA,xG
Simon Terodde,GER,31,Köln,de Bundesliga,False,11,1,5,164,391,14,14,102,0,0,0,1,2304,0,1,3,3,4,267,2400000,813,6.7,0,3,0,0,3,11,218,169,2465,14,0,1,54,13,17,5,546,254,383,0.8,6.7
Aaron Martin,ESP,22,Mainz 05,de Bundesliga,False,54,0,40,912,610,38,43,662,0,0,0,1,1466,1,1,3,0,14,819,10500000,1792,0.2,1,26,0,20,1,27,218,527,1561,50,0,0,61,21,35,15,3953,2164,4792,3.4,0.2
Sebastian Walukiewicz,POL,19,Cagliari,it Serie A,False,35,0,10,607,468,33,49,529,0,0,0,0,2465,0,0,0,0,3,665,3600000,1165,0.1,0,9,0,0,0,5,141,454,2642,5,0,0,38,16,19,10,3153,1902,3711,0.1,0.1
Oriol Romeu,ESP,27,Southampton,eng Premier League,False,87,0,16,1038,768,58,56,866,0,2,0,1,2021,0,1,0,0,21,1242,8000000,1860,0.3,0,13,0,1,0,27,441,728,2155,33,0,1,141,56,77,39,3162,1626,4007,1.3,0.3
Pascal Gross,GER,28,Brighton,eng Premier League,False,94,4,19,1028,1118,27,11,762,1,2,0,4,937,0,2,9,2,9,1083,9500000,1796,1.9,2,10,3,33,3,51,395,855,1015,95,0,1,103,33,42,21,3811,1636,4613,5.2,1.9
Jean Ricner Bellegarde,FRA,21,Strasbourg,fr Ligue 1,False,46,0,50,700,717,20,18,604,0,0,0,1,223,1,5,5,0,20,896,3600000,1497,0.9,0,35,0,3,4,38,300,619,240,47,0,0,103,38,58,27,4647,2393,2165,1.3,0.9
Thomas Mangani,FRA,32,Angers,fr Ligue 1,False,135,2,28,1366,1161,29,31,1073,0,0,0,3,1436,0,0,2,2,11,1404,1600000,1871,1.8,0,24,1,24,1,50,497,1070,1530,78,0,1,122,34,45,23,5050,2427,7316,3.5,1.8
Jan Bednarek,POL,23,Southampton,eng Premier League,False,62,1,2,1434,966,61,329,1143,0,0,0,0,214,0,1,1,1,44,1878,12000000,3057,0.8,0,2,0,0,0,11,321,953,230,13,1,1,102,70,114,38,3867,1853,7627,0.1,0.8
Emil Audero,ITA,22,Sampdoria,it Serie A,False,0,0,1,1037,397,0,1,660,0,0,0,0,126,0,0,0,0,0,727,12000000,3240,0,0,1,0,0,0,2,2,395,138,2,0,0,0,0,0,0,2314,1225,14133,0,0
Florian Miguel,FRA,22,Nîmes,fr Ligue 1,False,59,0,33,954,703,32,71,707,0,1,0,1,1562,1,4,2,1,27,978,1600000,2056,1.3,0,16,0,4,1,20,247,621,1658,30,0,0,81,53,80,32,3801,2375,6082,0.9,1.3
